datetime,logger_id,name,latitude,longitude,pegel,wtemp,o,do,elL,hkBat,hkTemp,hkHum,year_month
2025-01-01 00:00:00,900371,Huelsbergstr,51.43301,7.2142,110.186,4.425,,,,3.639,6.58,44.9,2025-01
2025-01-01 00:00:00,900371,Huelsbergstr,51.43301,7.2142,110.186,4.425,,,,3.639,6.58,44.9,2025-01
2025-01-01 00:15:01,900371,Huelsbergstr,51.43301,7.2142,110.187,4.403,,,,3.618,6.68,44.9,2025-01
2025-01-01 00:30:01,900371,Huelsbergstr,51.43301,7.2142,110.187,4.363,,,,,,,2025-01
2025-01-01 00:45:01,900371,Huelsbergstr,51.43301,7.2142,110.187,4.384,,,,,,,2025-01
2025-01-01 01:00:00,900371,Huelsbergstr,51.43301,7.2142,110.187,4.338,,,,3.639,6.88,45.0,2025-01
2025-01-01 01:15:01,900371,Huelsbergstr,51.43301,7.2142,110.187,4.341,,,,3.62,7.03,45.0,2025-01
2025-01-01 01:30:01,900371,Huelsbergstr,51.43301,7.2142,110.187,4.381,,,,,,,2025-01
2025-01-01 01:45:01,900371,Huelsbergstr,51.43301,7.2142,110.186,4.316,,,,,,,2025-01
2025-01-01 02:00:00,900371,Huelsbergstr,51.43301,7.2142,110.187,4.356,,,,3.628,7.15,45.0,2025-01
2025-01-01 02:15:00,900371,Huelsbergstr,51.43301,7.2142,110.187,4.363,,,,3.618,7.27,45.0,2025-01
2025-01-01 02:30:00,900371,Huelsbergstr,51.43301,7.2142,110.186,4.347,,,,,,,2025-01
2025-01-01 02:45:00,900371,Huelsbergstr,51.43301,7.2142,110.186,4.347,,,,,,,2025-01
2025-01-01 03:00:01,900371,Huelsbergstr,51.43301,7.2142,110.187,4.366,,,,3.629,7.48,45.1,2025-01
2025-01-01 03:15:01,900371,Huelsbergstr,51.43301,7.2142,110.187,4.313,,,,3.622,7.62,45.0,2025-01
2025-01-01 03:30:01,900371,Huelsbergstr,51.43301,7.2142,110.187,4.306,,,,,,,2025-01
2025-01-01 03:45:01,900371,Huelsbergstr,51.43301,7.2142,110.187,4.291,,,,,,,2025-01
2025-01-01 04:00:00,900371,Huelsbergstr,51.43301,7.2142,110.188,4.272,,,,3.636,7.71,45.1,2025-01
2025-01-01 04:15:00,900371,Huelsbergstr,51.43301,7.2142,110.187,4.275,,,,3.616,7.68,45.0,2025-01
2025-01-01 04:30:00,900371,Huelsbergstr,51.43301,7.2142,110.187,4.278,,,,,,,2025-01
2025-01-01 04:45:00,900371,Huelsbergstr,51.43301,7.2142,110.187,4.306,,,,,,,2025-01
2025-01-01 05:00:00,900371,Huelsbergstr,51.43301,7.2142,110.188,4.266,,,,3.63,7.42,45.1,2025-01
2025-01-01 05:15:01,900371,Huelsbergstr,51.43301,7.2142,110.187,4.253,,,,3.619,7.66,45.0,2025-01
2025-01-01 05:30:01,900371,Huelsbergstr,51.43301,7.2142,110.187,4.222,,,,,,,2025-01
2025-01-01 05:45:01,900371,Huelsbergstr,51.43301,7.2142,110.188,4.247,,,,,,,2025-01
2025-01-01 06:00:00,900371,Huelsbergstr,51.43301,7.2142,110.186,4.228,,,,3.628,7.97,45.2,2025-01
