datetime,logger_id,name,latitude,longitude,pegel,wtemp,o,do,elL,hkBat,hkTemp,hkHum
2024-01-03 09:15:00,900413,Stembergteich,51.51349,7.22748,76.977,7.188,72.127,8.583,,3.691,12.31,26.4
2024-01-03 09:30:00,900413,Stembergteich,51.51349,7.22748,76.98,7.191,72.14,8.574,,,,
2024-01-03 09:45:00,900413,Stembergteich,51.51349,7.22748,76.975,7.2,72.048,8.573,,,,
2024-01-03 10:00:01,900413,Stembergteich,51.51349,7.22748,76.975,7.166,71.867,8.554,,3.704,12.15,26.4
2024-01-03 10:15:00,900413,Stembergteich,51.51349,7.22748,76.974,7.15,71.693,8.533,,3.691,12.07,26.3
2024-01-03 10:30:00,900413,Stembergteich,51.51349,7.22748,76.975,7.191,71.587,8.519,,,,
2024-01-03 10:45:00,900413,Stembergteich,51.51349,7.22748,76.974,7.184,71.492,8.506,,,,
2024-01-03 11:00:00,900413,Stembergteich,51.51349,7.22748,76.977,7.181,71.516,8.51,,3.715,12,26.3
2024-01-03 11:15:01,900413,Stembergteich,51.51349,7.22748,76.975,7.197,71.314,8.478,,3.693,12.08,26.3
2024-01-03 11:30:01,900413,Stembergteich,51.51349,7.22748,76.975,7.216,71.108,8.45,,,,
2024-01-03 11:45:01,900413,Stembergteich,51.51349,7.22748,76.978,7.2,71.279,8.47,,,,
2024-01-03 12:00:00,900413,Stembergteich,51.51349,7.22748,76.974,7.191,71.53,8.496,,3.715,12.46,26.5
2024-01-03 12:15:00,900413,Stembergteich,51.51349,7.22748,76.99,7.225,71.88,8.534,,3.694,12.8,26.5
2024-01-03 12:30:00,900413,Stembergteich,51.51349,7.22748,76.975,7.225,72.23,8.572,,,,
2024-01-03 12:45:00,900413,Stembergteich,51.51349,7.22748,76.982,7.256,72.595,8.609,,,,
2024-01-03 13:00:01,900413,Stembergteich,51.51349,7.22748,76.979,7.291,72.884,8.638,,3.714,13.5,26.6
2024-01-03 13:15:01,900413,Stembergteich,51.51349,7.22748,76.978,7.325,73.146,8.664,,3.696,13.86,26.6
2024-01-03 13:30:01,900413,Stembergteich,51.51349,7.22748,76.977,7.3,73.529,8.708,,,,
2024-01-03 13:45:01,900413,Stembergteich,51.51349,7.22748,76.977,7.331,74.077,8.766,,,,
2024-01-03 14:00:00,900413,Stembergteich,51.51349,7.22748,76.98,7.378,74.673,8.834,,3.712,14.16,26.6
2024-01-03 14:15:01,900413,Stembergteich,51.51349,7.22748,76.978,7.359,75.013,8.873,,3.701,14.14,26.5
2024-01-03 14:30:01,900413,Stembergteich,51.51349,7.22748,76.98,7.281,75.26,8.914,,,,
2024-01-03 14:45:01,900413,Stembergteich,51.51349,7.22748,76.98,7.334,75.306,8.913,,,,
2024-01-03 15:00:00,900413,Stembergteich,51.51349,7.22748,76.979,7.334,75.209,8.901,,3.71,12.78,26.4
2024-01-03 15:15:00,900413,Stembergteich,51.51349,7.22748,76.98,7.375,75.034,8.878,,3.693,12.52,26.4
2024-01-03 15:30:00,900413,Stembergteich,51.51349,7.22748,76.979,7.403,74.88,8.859,,,,
2024-01-03 15:45:00,900413,Stembergteich,51.51349,7.22748,76.98,7.384,74.785,8.849,,,,
2024-01-03 16:00:01,900413,Stembergteich,51.51349,7.22748,76.979,7.359,74.534,8.819,,3.708,11.92,26.3
2024-01-03 16:15:00,900413,Stembergteich,51.51349,7.22748,76.979,7.413,74.227,8.779,,3.694,11.88,26.3
2024-01-03 16:30:00,900413,Stembergteich,51.51349,7.22748,76.98,7.391,73.917,8.742,,,,
2024-01-03 16:45:00,900413,Stembergteich,51.51349,7.22748,76.982,7.422,73.64,8.705,,,,
2024-01-03 17:00:01,900413,Stembergteich,51.51349,7.22748,76.981,7.394,73.446,8.687,,3.709,11.86,26.3
2024-01-03 17:15:00,900413,Stembergteich,51.51349,7.22748,76.979,7.372,73.3,8.674,,3.696,11.94,26.3
2024-01-03 17:30:00,900413,Stembergteich,51.51349,7.22748,76.98,7.363,73.217,8.658,,,,
2024-01-03 17:45:00,900413,Stembergteich,51.51349,7.22748,76.982,7.378,73.309,8.662,,,,
2024-01-03 18:00:01,900413,Stembergteich,51.51349,7.22748,76.979,7.397,73.533,8.694,,3.704,11.65,26.3
2024-01-03 18:15:01,900413,Stembergteich,51.51349,7.22748,76.977,7.375,73.78,8.728,,3.689,11.51,26.2
2024-01-03 18:30:01,900413,Stembergteich,51.51349,7.22748,76.977,7.381,74.079,8.765,,,,
2024-01-03 18:45:01,900413,Stembergteich,51.51349,7.22748,76.977,7.338,74.34,8.796,,,,
2024-01-03 19:00:00,900413,Stembergteich,51.51349,7.22748,76.978,7.363,74.478,8.813,,3.703,11.15,26.2
2024-01-03 19:15:00,900413,Stembergteich,51.51349,7.22748,76.975,7.35,74.452,8.81,,3.696,11.15,26.2
2024-01-03 19:30:00,900413,Stembergteich,51.51349,7.22748,76.975,7.347,74.418,8.806,,,,
2024-01-03 19:45:00,900413,Stembergteich,51.51349,7.22748,76.975,7.331,74.396,8.802,,,,
2024-01-03 20:00:01,900413,Stembergteich,51.51349,7.22748,76.974,7.381,74.526,8.806,,3.709,11,26.2
2024-01-03 20:15:01,900413,Stembergteich,51.51349,7.22748,76.972,7.366,74.515,8.805,,3.695,11.05,26.1
2024-01-03 20:30:01,900413,Stembergteich,51.51349,7.22748,76.972,7.403,74.408,8.794,,,,
2024-01-03 20:45:01,900413,Stembergteich,51.51349,7.22748,76.97,7.366,74.362,8.794,,,,
2024-01-03 21:00:00,900413,Stembergteich,51.51349,7.22748,76.97,7.388,74.303,8.788,,3.702,11.15,26.2
2024-01-03 21:15:01,900413,Stembergteich,51.51349,7.22748,76.971,7.422,74.325,8.79,,3.687,11.31,26.3
2024-01-03 21:30:01,900413,Stembergteich,51.51349,7.22748,76.971,7.406,74.412,8.799,,,,
2024-01-03 21:45:01,900413,Stembergteich,51.51349,7.22748,76.969,7.4,74.584,8.819,,,,
2024-01-03 22:00:00,900413,Stembergteich,51.51349,7.22748,76.967,7.366,74.648,8.823,,3.709,11.6,26.3
2024-01-03 22:15:00,900413,Stembergteich,51.51349,7.22748,76.967,7.441,74.739,8.826,,3.694,11.68,26.2
2024-01-03 22:30:00,900413,Stembergteich,51.51349,7.22748,76.965,7.397,74.601,8.817,,,,
2024-01-03 22:45:00,900413,Stembergteich,51.51349,7.22748,76.964,7.403,74.369,8.793,,,,
2024-01-03 23:00:01,900413,Stembergteich,51.51349,7.22748,76.963,7.372,74.185,8.771,,3.712,11.41,26.2
2024-01-03 23:15:00,900413,Stembergteich,51.51349,7.22748,76.965,7.416,74.018,8.757,,3.695,11.29,26.2
2024-01-03 23:30:00,900413,Stembergteich,51.51349,7.22748,76.964,7.378,73.856,8.74,,,,
2024-01-03 23:45:00,900413,Stembergteich,51.51349,7.22748,76.966,7.363,73.699,8.721,,,,
