datetime,outdoor_temperature,outdoor_feels_like,outdoor_app_temp,outdoor_dew_point,outdoor_humidity,indoor_temperature,indoor_humidity,solar_and_uvi_solar,solar_and_uvi_uvi,rainfall_piezo_rain_rate,rainfall_piezo_daily,rainfall_piezo_event,rainfall_piezo_hourly,rainfall_piezo_weekly,rainfall_piezo_monthly,rainfall_piezo_yearly,wind_wind_speed,wind_wind_gust,wind_wind_direction,pressure_relative,pressure_absolute,battery_haptic_array_battery,battery_haptic_array_capacitor
2025-01-01 01:00:00+01:00,3.8,2.6,0.9,1.4,84.0,6.3,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.8,13.3,354.0,1006.3,1006.3,2.66,2.5
2025-01-01 01:05:00+01:00,3.8,3.3,1.2,1.5,85.0,6.3,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6,13.0,201.0,1006.3,1006.3,2.66,2.5
2025-01-01 01:10:00+01:00,3.9,2.9,1.1,1.6,85.0,6.3,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.3,17.6,179.0,1006.2,1006.2,2.66,2.5
2025-01-01 01:15:00+01:00,4.0,3.2,1.4,1.7,85.0,6.3,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,19.1,48.0,1006.2,1006.2,2.66,2.5
2025-01-01 01:20:00+01:00,4.0,2.6,0.8,1.6,84.0,6.3,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.3,20.2,103.0,1006.1,1006.1,2.66,2.5
2025-01-01 01:25:00+01:00,4.0,2.3,0.8,1.7,85.0,6.3,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.3,19.8,93.0,1006.2,1006.2,2.66,2.5
2025-01-01 01:30:00+01:00,4.0,3.6,1.4,1.6,84.0,6.3,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4,19.8,147.0,1006.0,1006.0,2.66,2.5
2025-01-01 01:35:00+01:00,4.0,2.8,1.0,1.6,84.0,6.3,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.4,17.6,54.0,1005.9,1005.9,2.66,2.5
2025-01-01 01:40:00+01:00,4.0,3.3,1.3,1.6,84.0,6.4,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,15.5,92.0,1005.9,1005.9,2.66,2.5
2025-01-01 01:45:00+01:00,4.1,3.4,1.6,1.6,84.0,6.4,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,15.5,139.0,1005.8,1005.8,2.66,2.5
2025-01-01 01:50:00+01:00,4.0,3.3,1.3,1.7,85.0,6.4,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,13.0,152.0,1005.8,1005.8,2.66,2.5
2025-01-01 01:55:00+01:00,4.1,2.1,0.6,1.7,84.0,6.4,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,20.9,92.0,1005.8,1005.8,2.66,2.5
2025-01-01 02:00:00+01:00,4.1,3.8,1.6,1.8,85.0,6.4,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8,13.0,175.0,1005.7,1005.7,2.66,2.5
2025-01-01 02:05:00+01:00,4.1,3.5,1.5,1.8,85.0,6.4,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,15.1,123.0,1005.5,1005.5,2.66,2.5
2025-01-01 02:10:00+01:00,4.1,3.5,1.5,1.8,85.0,6.4,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8,20.5,164.0,1005.4,1005.4,2.66,2.5
2025-01-01 02:15:00+01:00,4.2,3.5,1.6,1.9,85.0,6.4,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8,19.1,133.0,1005.4,1005.4,2.66,2.5
2025-01-01 02:20:00+01:00,4.2,3.1,1.4,1.9,85.0,6.5,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.8,13.7,156.0,1005.3,1005.3,2.66,2.5
2025-01-01 02:25:00+01:00,4.2,3.0,1.4,1.9,85.0,6.5,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.8,27.4,185.0,1005.4,1005.4,2.66,2.5
2025-01-01 02:30:00+01:00,4.3,4.0,1.9,2.0,85.0,6.5,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,23.0,196.0,1005.3,1005.3,2.66,2.5
2025-01-01 02:35:00+01:00,4.4,3.5,1.8,2.1,85.0,6.5,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8,16.2,128.0,1005.4,1005.4,2.66,2.5
2025-01-01 02:40:00+01:00,4.4,2.2,1.0,2.1,85.0,6.5,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.1,17.3,185.0,1005.4,1005.4,2.66,2.5
2025-01-01 02:45:00+01:00,4.4,3.6,1.7,2.1,85.0,6.5,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.3,24.1,182.0,1005.4,1005.4,2.66,2.5
2025-01-01 02:50:00+01:00,4.5,2.5,1.2,2.2,85.0,6.5,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.6,24.5,116.0,1005.4,1005.4,2.66,2.5
2025-01-01 02:55:00+01:00,4.5,3.5,1.8,2.2,85.0,6.6,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2,21.6,83.0,1005.5,1005.5,2.66,2.5
2025-01-01 03:00:00+01:00,4.5,2.8,1.2,2.2,85.0,6.6,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.6,20.2,175.0,1005.5,1005.5,2.66,2.5
2025-01-01 03:05:00+01:00,4.5,2.2,1.1,2.2,85.0,6.6,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.4,16.6,150.0,1005.6,1005.6,2.66,2.5
2025-01-01 03:10:00+01:00,4.6,3.8,1.9,2.3,85.0,6.6,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4,21.6,114.0,1005.6,1005.6,2.66,2.5
2025-01-01 03:15:00+01:00,4.6,4.1,2.0,2.3,85.0,6.6,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,23.8,130.0,1005.5,1005.5,2.66,2.5
2025-01-01 03:20:00+01:00,4.6,2.8,1.1,2.3,85.0,6.6,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.6,27.4,122.0,1005.6,1005.6,2.66,2.5
2025-01-01 03:25:00+01:00,4.7,3.2,1.5,2.4,85.0,6.6,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.1,17.6,133.0,1005.4,1005.4,2.66,2.5
2025-01-01 03:30:00+01:00,4.7,3.0,1.5,2.4,85.0,6.6,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.1,25.6,137.0,1005.4,1005.4,2.66,2.5
2025-01-01 03:35:00+01:00,4.6,3.4,1.6,2.3,85.0,6.7,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.1,17.6,119.0,1005.3,1005.3,2.66,2.5
2025-01-01 03:40:00+01:00,4.6,2.5,1.0,2.3,85.0,6.7,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.3,21.2,136.0,1005.2,1005.2,2.66,2.5
2025-01-01 03:45:00+01:00,4.6,3.9,2.1,2.3,85.0,6.7,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3,29.5,117.0,1004.9,1004.9,2.66,2.5
2025-01-01 03:50:00+01:00,4.5,2.5,1.0,2.2,85.0,6.7,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.4,28.8,110.0,1004.8,1004.8,2.66,2.5
2025-01-01 03:55:00+01:00,4.5,4.2,2.1,2.2,85.0,6.7,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6,17.3,129.0,1004.8,1004.8,2.66,2.5
2025-01-01 04:00:00+01:00,4.4,2.7,1.3,2.3,86.0,6.7,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.3,22.0,110.0,1004.7,1004.7,2.66,2.5
2025-01-01 04:05:00+01:00,4.4,3.2,1.6,2.2,86.0,6.7,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.9,22.0,121.0,1004.5,1004.5,2.66,2.5
2025-01-01 04:10:00+01:00,4.4,2.2,1.1,2.3,86.0,6.7,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.9,19.4,134.0,1004.5,1004.5,2.66,2.5
2025-01-01 04:15:00+01:00,4.5,4.1,2.2,2.3,86.0,6.7,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2,12.6,285.0,1004.4,1004.4,2.66,2.5
2025-01-01 04:20:00+01:00,4.5,2.6,1.3,2.2,85.0,6.7,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,13.7,119.0,1004.4,1004.4,2.66,2.5
2025-01-01 04:25:00+01:00,4.5,2.4,1.0,2.2,85.0,6.7,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.7,22.7,132.0,1004.3,1004.3,2.66,2.5
2025-01-01 04:30:00+01:00,4.6,2.2,0.9,2.3,85.0,6.7,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.5,22.7,103.0,1004.3,1004.3,2.66,2.5
2025-01-01 04:35:00+01:00,4.6,3.4,1.8,2.3,85.0,6.8,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.6,18.0,131.0,1004.3,1004.3,2.66,2.5
2025-01-01 04:40:00+01:00,4.7,2.9,1.6,2.4,85.0,6.8,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.9,19.4,75.0,1004.2,1004.2,2.66,2.5
2025-01-01 04:45:00+01:00,4.8,4.4,2.3,2.5,85.0,6.8,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,17.3,70.0,1004.3,1004.3,2.66,2.5
2025-01-01 04:50:00+01:00,4.8,4.5,2.8,2.5,85.0,6.8,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,14.8,214.0,1004.3,1004.3,2.66,2.5
