datetime,outdoor_temperature,outdoor_feels_like,outdoor_app_temp,outdoor_dew_point,outdoor_humidity,indoor_temperature,indoor_humidity,indoor_dew_point,indoor_feels_like,indoor_app_tempin,solar_and_uvi_solar,solar_and_uvi_uvi,rainfall_piezo_rain_rate,rainfall_piezo_daily,rainfall_piezo_event,rainfall_piezo_1_hour,rainfall_piezo_weekly,rainfall_piezo_monthly,rainfall_piezo_yearly,wind_wind_speed,wind_wind_gust,wind_wind_direction,pressure_relative,pressure_absolute,battery_haptic_array_battery,battery_haptic_array_capacitor
2025-10-01 02:00:00+02:00,8.0,7.8,6.4,6.5,90.0,16.8,50.0,6.3,16.8,15.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,703.7,4.0,8.3,269.0,1012.9,1012.9,2.86,4.9
2025-10-01 02:05:00+02:00,8.1,7.8,6.4,6.7,91.0,16.7,50.0,6.3,16.7,15.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,703.7,4.5,7.6,289.0,1012.9,1012.9,2.86,4.9
2025-10-01 02:10:00+02:00,8.0,7.7,6.5,6.7,92.0,16.7,50.0,6.2,16.7,15.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,703.7,3.8,7.2,282.0,1012.9,1012.9,2.86,4.9
2025-10-01 02:15:00+02:00,8.0,7.8,6.4,6.8,92.0,16.7,50.0,6.2,16.7,15.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,703.7,4.0,7.2,289.0,1012.9,1012.9,2.86,4.9
2025-10-01 02:20:00+02:00,7.9,7.8,6.4,6.8,93.0,16.6,50.0,6.2,16.6,15.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,703.7,3.5,6.8,280.0,1012.9,1012.9,2.86,4.8
2025-10-01 02:25:00+02:00,7.7,7.7,6.2,6.7,93.0,16.6,50.0,6.2,16.6,15.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,703.7,3.7,5.4,297.0,1012.9,1012.9,2.86,4.8
2025-10-01 02:30:00+02:00,7.6,7.6,6.2,6.6,93.0,16.6,50.0,6.1,16.6,15.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,703.7,3.2,5.4,286.0,1013.0,1013.0,2.86,4.8
2025-10-01 02:35:00+02:00,7.5,7.5,6.1,6.7,94.0,16.5,50.0,6.1,16.5,15.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,703.7,3.5,4.7,291.0,1012.9,1012.9,2.86,4.8
2025-10-01 02:40:00+02:00,7.4,7.4,5.9,6.5,94.0,16.5,50.0,6.1,16.5,15.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,703.7,3.6,5.0,290.0,1012.9,1012.9,2.86,4.8
2025-10-01 02:45:00+02:00,7.4,7.1,5.7,6.5,94.0,16.4,50.0,6.0,16.4,15.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,703.7,4.4,8.3,280.0,1012.9,1012.9,2.86,4.8
2025-10-01 02:50:00+02:00,7.4,7.4,5.9,6.5,94.0,16.4,50.0,5.9,16.4,15.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,703.7,3.8,8.3,283.0,1012.9,1012.9,2.86,4.8
2025-10-01 02:55:00+02:00,7.4,7.2,5.8,6.6,95.0,16.4,50.0,5.9,16.4,15.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,703.7,4.4,7.2,283.0,1012.9,1012.9,2.86,4.8
2025-10-01 03:00:00+02:00,7.4,7.4,5.9,6.6,95.0,16.3,50.0,5.9,16.3,15.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,703.7,3.4,7.2,290.0,1012.9,1012.9,2.86,4.8
2025-10-01 03:05:00+02:00,7.3,6.8,5.6,6.5,95.0,16.3,50.0,5.9,16.3,15.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,703.7,4.8,7.2,291.0,1012.9,1012.9,2.86,4.8
2025-10-01 03:10:00+02:00,7.3,7.1,5.6,6.5,95.0,16.2,50.0,5.8,16.2,15.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,703.7,4.7,8.3,294.0,1012.9,1012.9,2.86,4.8
2025-10-01 03:15:00+02:00,7.3,7.0,5.6,6.4,94.0,16.2,50.0,5.8,16.2,15.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,703.7,4.3,6.5,298.0,1013.0,1013.0,2.86,4.8
2025-10-01 03:20:00+02:00,7.3,7.0,5.6,6.4,94.0,16.2,50.0,5.7,16.2,15.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,703.7,4.3,5.8,298.0,1013.0,1013.0,2.86,4.8
2025-10-01 03:25:00+02:00,7.3,7.1,5.8,6.4,94.0,16.1,50.0,5.7,16.1,15.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,703.7,3.7,5.8,283.0,1012.9,1012.9,2.86,4.8
2025-10-01 03:30:00+02:00,7.3,7.3,5.6,6.4,94.0,16.1,50.0,5.7,16.1,15.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,703.7,4.2,5.8,294.0,1012.9,1012.9,2.86,4.8
2025-10-01 03:35:00+02:00,7.2,7.2,5.6,6.2,93.0,16.0,50.0,5.6,16.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,703.7,3.5,5.4,280.0,1012.9,1012.9,2.86,4.8
2025-10-01 03:40:00+02:00,7.1,7.2,5.5,6.2,93.0,16.0,50.0,5.6,16.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,703.7,3.9,5.0,277.0,1012.9,1012.9,2.86,4.8
2025-10-01 03:45:00+02:00,7.1,6.8,5.4,6.2,93.0,16.0,50.0,5.6,16.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,703.7,4.2,5.8,278.0,1012.9,1012.9,2.86,4.8
2025-10-01 03:50:00+02:00,7.1,7.1,5.5,6.1,93.0,15.9,50.0,5.5,15.9,14.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,703.7,3.7,5.4,286.0,1012.8,1012.8,2.86,4.7
2025-10-01 03:55:00+02:00,7.1,7.1,5.5,6.0,93.0,15.9,50.0,5.5,15.9,14.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,703.7,3.5,5.4,277.0,1012.9,1012.9,2.86,4.7
2025-10-01 04:00:00+02:00,7.1,7.0,5.5,6.1,93.0,15.9,50.0,5.5,15.8,14.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,703.7,3.7,6.8,284.0,1012.9,1012.9,2.86,4.7
2025-10-01 04:05:00+02:00,7.1,7.0,5.5,6.1,93.0,15.8,50.0,5.4,15.8,14.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,703.7,3.7,6.8,287.0,1012.9,1012.9,2.86,4.7
2025-10-01 04:10:00+02:00,7.0,7.0,5.4,6.0,93.0,15.8,50.0,5.4,15.8,14.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,703.7,3.5,5.0,286.0,1012.9,1012.9,2.86,4.7
2025-10-01 04:15:00+02:00,7.0,7.0,5.4,5.9,93.0,15.7,50.0,5.3,15.7,14.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,703.7,3.1,5.8,283.0,1013.0,1013.0,2.86,4.7
2025-10-01 04:20:00+02:00,6.9,6.9,5.2,5.8,93.0,15.7,50.0,5.3,15.7,14.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,703.7,3.7,5.8,294.0,1013.0,1013.0,2.86,4.7
2025-10-01 04:25:00+02:00,6.9,6.9,5.2,5.8,93.0,15.7,50.0,5.3,15.7,14.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,703.7,3.9,5.0,292.0,1013.0,1013.0,2.86,4.7
2025-10-01 04:30:00+02:00,6.8,6.8,5.1,5.7,93.0,15.7,50.0,5.3,15.7,14.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,703.7,3.8,5.4,292.0,1013.0,1013.0,2.86,4.7
2025-10-01 04:35:00+02:00,6.8,6.8,5.0,5.7,93.0,15.6,50.0,5.2,15.6,14.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,703.7,3.9,5.0,285.0,1013.1,1013.1,2.86,4.7
2025-10-01 04:40:00+02:00,6.7,6.7,5.0,5.7,93.0,15.6,50.0,5.2,15.6,14.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,703.7,3.3,5.8,287.0,1013.1,1013.1,2.86,4.7
2025-10-01 04:45:00+02:00,6.6,6.6,4.9,5.7,94.0,15.5,50.0,5.1,15.5,14.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,703.7,3.9,5.4,285.0,1013.0,1013.0,2.86,4.7
2025-10-01 04:50:00+02:00,6.6,6.6,4.8,5.7,94.0,15.5,50.0,5.1,15.5,14.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,703.7,4.2,5.8,293.0,1013.1,1013.1,2.86,4.7
2025-10-01 04:55:00+02:00,6.5,6.3,4.6,5.6,94.0,15.5,50.0,5.1,15.5,14.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,703.7,4.6,5.8,292.0,1013.1,1013.1,2.86,4.7
2025-10-01 05:00:00+02:00,6.4,6.4,4.7,5.5,94.0,15.4,50.0,5.1,15.4,14.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,703.7,3.7,6.1,283.0,1013.0,1013.0,2.86,4.7
2025-10-01 05:05:00+02:00,6.3,6.3,4.6,5.4,94.0,15.4,50.0,5.1,15.4,14.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,703.7,3.6,6.1,282.0,1013.0,1013.0,2.86,4.7
2025-10-01 05:10:00+02:00,6.3,6.0,4.4,5.4,94.0,15.4,50.0,5.0,15.4,14.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,703.7,4.3,6.8,281.0,1013.0,1013.0,2.86,4.7
2025-10-01 05:15:00+02:00,6.3,6.3,4.7,5.4,94.0,15.3,50.0,4.9,15.3,14.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,703.7,3.0,4.7,278.0,1013.0,1013.0,2.86,4.7
2025-10-01 05:20:00+02:00,6.2,6.2,4.4,5.3,94.0,15.3,50.0,4.9,15.3,14.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,703.7,3.7,5.0,292.0,1012.9,1012.9,2.86,4.7
2025-10-01 05:25:00+02:00,6.1,6.1,4.4,5.2,94.0,15.3,50.0,4.9,15.3,14.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,703.7,3.2,4.7,290.0,1012.9,1012.9,2.86,4.7
2025-10-01 05:30:00+02:00,6.0,6.0,4.3,5.1,94.0,15.2,50.0,4.8,15.2,14.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,703.7,3.2,5.4,284.0,1013.0,1013.0,2.86,4.6
2025-10-01 05:35:00+02:00,6.0,5.8,4.1,5.1,94.0,15.2,50.0,4.8,15.2,14.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,703.7,4.2,6.1,288.0,1013.0,1013.0,2.86,4.6
2025-10-01 05:40:00+02:00,6.0,6.0,4.2,5.1,94.0,15.1,50.0,4.8,15.1,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,703.7,3.7,6.5,281.0,1013.0,1013.0,2.86,4.6
2025-10-01 05:45:00+02:00,6.0,6.0,4.2,5.1,94.0,15.1,50.0,4.8,15.1,13.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,703.7,3.5,5.0,277.0,1013.1,1013.1,2.86,4.6
2025-10-01 05:50:00+02:00,6.0,6.0,4.2,5.1,94.0,15.1,50.0,4.7,15.1,13.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,703.7,3.8,4.7,282.0,1013.1,1013.1,2.86,4.6
2025-10-01 05:55:00+02:00,5.9,5.9,4.1,4.9,93.0,15.0,50.0,4.7,15.0,13.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,703.7,3.5,6.1,282.0,1013.1,1013.1,2.86,4.6
2025-10-01 06:00:00+02:00,5.9,5.8,4.1,4.8,93.0,15.0,50.0,4.7,15.0,13.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,703.7,3.2,5.4,277.0,1013.2,1013.2,2.86,4.6
2025-10-01 06:05:00+02:00,5.8,5.8,4.0,4.8,93.0,14.9,50.0,4.6,14.9,13.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,703.7,3.6,6.1,278.0,1013.2,1013.2,2.86,4.6
2025-10-01 06:10:00+02:00,5.7,5.7,3.8,4.7,93.0,14.9,50.0,4.6,14.9,13.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,703.7,4.0,4.7,277.0,1013.3,1013.3,2.86,4.6
2025-10-01 06:15:00+02:00,5.7,5.7,3.8,4.7,93.0,14.9,50.0,4.6,14.9,13.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,703.7,3.6,5.4,271.0,1013.4,1013.4,2.86,4.6
2025-10-01 06:20:00+02:00,5.7,5.7,3.8,4.6,93.0,14.9,50.0,4.6,14.9,13.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,703.7,3.8,5.8,262.0,1013.3,1013.3,2.86,4.6
2025-10-01 06:25:00+02:00,5.6,5.4,3.7,4.5,93.0,14.8,50.0,4.5,14.8,13.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,703.7,3.5,5.8,268.0,1013.4,1013.4,2.86,4.6
2025-10-01 06:30:00+02:00,5.5,5.5,3.6,4.4,93.0,14.8,50.0,4.5,14.8,13.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,703.7,3.1,5.0,271.0,1013.5,1013.5,2.86,4.6
2025-10-01 06:35:00+02:00,5.4,5.4,3.5,4.3,93.0,14.8,50.0,4.5,14.8,13.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,703.7,3.2,4.7,268.0,1013.5,1013.5,2.86,4.6
2025-10-01 06:40:00+02:00,5.3,5.3,3.4,4.4,94.0,14.7,50.0,4.4,14.7,13.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,703.7,3.5,6.1,281.0,1013.6,1013.6,2.86,4.6
2025-10-01 06:45:00+02:00,5.3,4.9,3.2,4.4,94.0,14.7,50.0,4.4,14.7,13.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,703.7,4.1,6.5,254.0,1013.7,1013.7,2.86,4.6
2025-10-01 06:50:00+02:00,5.2,5.2,3.2,4.3,94.0,14.6,50.0,4.3,14.6,13.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,703.7,3.5,6.5,285.0,1013.7,1013.7,2.86,4.6
2025-10-01 06:55:00+02:00,5.1,5.2,3.1,4.3,94.0,14.6,50.0,4.3,14.6,13.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,703.7,4.0,6.1,294.0,1013.6,1013.6,2.86,4.6
2025-10-01 07:00:00+02:00,5.1,4.1,2.9,4.2,94.0,14.6,50.0,4.3,14.6,13.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,703.7,4.8,7.6,282.0,1013.7,1013.7,2.85,4.5
2025-10-01 07:05:00+02:00,5.1,5.1,3.1,4.2,94.0,14.5,50.0,4.2,14.5,13.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,703.7,3.6,7.9,285.0,1013.8,1013.8,2.84,4.5
2025-10-01 07:10:00+02:00,5.2,4.0,2.7,4.3,94.0,14.5,50.0,4.2,14.5,13.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,703.7,6.0,8.6,289.0,1013.9,1013.9,2.86,4.5
2025-10-01 07:15:00+02:00,5.3,3.9,2.8,4.3,93.0,14.5,50.0,4.2,14.5,13.2,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,703.7,6.4,10.1,303.0,1013.9,1013.9,2.86,4.5
2025-10-01 07:20:00+02:00,5.3,4.3,2.9,4.3,93.0,14.4,50.0,4.1,14.4,13.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,703.7,5.8,9.4,284.0,1014.0,1014.0,2.86,4.5
2025-10-01 07:25:00+02:00,5.2,5.2,3.4,4.2,93.0,14.4,50.0,4.1,14.4,13.1,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,703.7,2.7,8.3,278.0,1014.0,1014.0,2.86,4.5
2025-10-01 07:30:00+02:00,5.2,5.0,3.1,4.2,93.0,14.4,50.0,4.1,14.4,13.1,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,703.7,4.3,6.5,272.0,1014.0,1014.0,2.85,4.5
2025-10-01 07:35:00+02:00,5.2,4.8,3.0,4.2,93.0,14.3,50.0,4.0,14.3,13.0,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,703.7,4.5,8.3,267.0,1014.0,1014.0,2.84,4.5
2025-10-01 07:40:00+02:00,5.2,4.8,3.0,4.2,93.0,14.3,50.0,4.0,14.3,13.0,6.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,703.7,4.5,8.3,246.0,1014.1,1014.1,2.85,4.5
2025-10-01 07:45:00+02:00,5.2,4.4,2.9,4.1,93.0,14.3,50.0,4.0,14.3,13.0,8.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,703.7,5.0,7.2,255.0,1014.2,1014.2,2.86,4.5
2025-10-01 07:50:00+02:00,5.2,5.0,3.3,4.1,92.0,14.2,50.0,4.0,14.2,12.9,9.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,703.7,3.3,7.6,267.0,1014.2,1014.2,2.86,4.5
2025-10-01 07:55:00+02:00,5.3,5.3,3.3,4.1,92.0,14.2,50.0,3.9,14.2,12.9,11.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,703.7,3.3,7.6,269.0,1014.4,1014.4,2.86,4.5
2025-10-01 08:00:00+02:00,5.2,5.2,3.1,4.0,92.0,14.2,50.0,3.9,14.2,12.9,13.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,703.7,3.8,5.4,290.0,1014.3,1014.3,2.86,4.5
