datetime,logger_id,name,latitude,longitude,pegel,wtemp,o,do,elL,hkBat,hkTemp,hkHum
2024-01-03 09:15:01,900355,Am Stadtpark,51.49212,7.22238,86.589,6.994,6.034,0.73,467,3.695,12.52,22.8
2024-01-03 09:30:01,900355,Am Stadtpark,51.49212,7.22238,86.594,6.969,4.896,0.592,464,,,
2024-01-03 09:45:01,900355,Am Stadtpark,51.49212,7.22238,86.587,6.981,4.211,0.509,470,,,
2024-01-03 10:00:00,900355,Am Stadtpark,51.49212,7.22238,86.587,6.997,3.979,0.481,469,3.714,12.24,22.8
2024-01-03 10:15:01,900355,Am Stadtpark,51.49212,7.22238,86.599,6.981,8.173,0.988,471,3.695,12.23,22.8
2024-01-03 10:30:01,900355,Am Stadtpark,51.49212,7.22238,86.595,7.022,7.263,0.878,464,,,
2024-01-03 10:45:01,900355,Am Stadtpark,51.49212,7.22238,86.594,7.016,6.553,0.792,469,,,
2024-01-03 11:00:00,900355,Am Stadtpark,51.49212,7.22238,86.592,6.975,7.863,0.95,472,3.717,12.1,22.8
2024-01-03 11:15:00,900355,Am Stadtpark,51.49212,7.22238,86.589,7.031,7.459,0.901,468,3.694,12.2,22.8
2024-01-03 11:30:00,900355,Am Stadtpark,51.49212,7.22238,86.589,7.006,6.853,0.828,469,,,
2024-01-03 11:45:00,900355,Am Stadtpark,51.49212,7.22238,86.589,7.003,6.042,0.73,467,,,
2024-01-03 12:00:00,900355,Am Stadtpark,51.49212,7.22238,86.598,7.019,5.484,0.662,471,3.72,12.35,22.9
2024-01-03 12:15:00,900355,Am Stadtpark,51.49212,7.22238,86.584,6.994,9.751,1.178,471,3.7,12.54,22.8
2024-01-03 12:30:00,900355,Am Stadtpark,51.49212,7.22238,86.593,7.05,8.907,1.075,470,,,
2024-01-03 12:45:00,900355,Am Stadtpark,51.49212,7.22238,86.594,7.034,7.248,0.875,469,,,
2024-01-03 13:00:00,900355,Am Stadtpark,51.49212,7.22238,86.598,7.05,6.47,0.781,470,3.712,12.91,23
2024-01-03 13:15:00,900355,Am Stadtpark,51.49212,7.22238,86.597,7.088,10.214,1.232,468,3.703,13.06,22.9
2024-01-03 13:30:00,900355,Am Stadtpark,51.49212,7.22238,86.595,7.081,11.539,1.392,472,,,
2024-01-03 13:45:00,900355,Am Stadtpark,51.49212,7.22238,86.587,7.063,13.973,1.685,462,,,
2024-01-03 14:00:00,900355,Am Stadtpark,51.49212,7.22238,86.598,7.147,12.92,1.558,467,3.715,13.37,23
2024-01-03 14:15:01,900355,Am Stadtpark,51.49212,7.22238,86.594,7.109,12.251,1.477,469,3.699,13.51,23
2024-01-03 14:30:01,900355,Am Stadtpark,51.49212,7.22238,86.598,7.141,13.686,1.649,470,,,
2024-01-03 14:45:01,900355,Am Stadtpark,51.49212,7.22238,86.597,7.147,14.928,1.799,470,,,
2024-01-03 15:00:00,900355,Am Stadtpark,51.49212,7.22238,86.592,7.131,14.509,1.748,468,3.715,12.89,22.9
2024-01-03 15:15:00,900355,Am Stadtpark,51.49212,7.22238,86.589,7.147,14.84,1.788,471,3.695,12.71,22.9
2024-01-03 15:30:00,900355,Am Stadtpark,51.49212,7.22238,86.59,7.181,14.202,1.711,469,,,
2024-01-03 15:45:00,900355,Am Stadtpark,51.49212,7.22238,86.589,7.159,14.795,1.782,468,,,
2024-01-03 16:00:00,900355,Am Stadtpark,51.49212,7.22238,86.59,7.15,14.199,1.71,468,3.715,12.2,22.8
2024-01-03 16:15:00,900355,Am Stadtpark,51.49212,7.22238,86.584,7.15,13.311,1.603,464,3.699,12.18,22.8
2024-01-03 16:30:00,900355,Am Stadtpark,51.49212,7.22238,86.587,7.147,12.594,1.516,464,,,
2024-01-03 16:45:00,900355,Am Stadtpark,51.49212,7.22238,86.588,7.178,10.189,1.226,466,,,
2024-01-03 17:00:00,900355,Am Stadtpark,51.49212,7.22238,86.588,7.156,8.212,0.988,465,3.717,11.96,22.8
2024-01-03 17:15:00,900355,Am Stadtpark,51.49212,7.22238,86.589,7.172,6.63,0.798,466,3.697,12.02,22.8
2024-01-03 17:30:00,900355,Am Stadtpark,51.49212,7.22238,86.587,7.163,5.818,0.7,465,,,
2024-01-03 17:45:00,900355,Am Stadtpark,51.49212,7.22238,86.581,7.178,5.287,0.636,472,,,
2024-01-03 18:00:00,900355,Am Stadtpark,51.49212,7.22238,86.577,7.159,4.119,0.496,467,3.714,11.75,22.7
2024-01-03 18:15:00,900355,Am Stadtpark,51.49212,7.22238,86.578,7.159,5.022,0.604,470,3.7,11.66,22.7
2024-01-03 18:30:00,900355,Am Stadtpark,51.49212,7.22238,86.57,7.219,4.215,0.507,470,,,
2024-01-03 18:45:00,900355,Am Stadtpark,51.49212,7.22238,86.575,7.178,3.398,0.409,474,,,
2024-01-03 19:00:00,900355,Am Stadtpark,51.49212,7.22238,86.569,7.144,3.39,0.408,472,3.715,11.23,22.7
2024-01-03 19:15:00,900355,Am Stadtpark,51.49212,7.22238,86.568,7.153,5.912,0.712,473,3.702,11.23,22.7
2024-01-03 19:30:00,900355,Am Stadtpark,51.49212,7.22238,86.569,7.122,5.135,0.618,470,,,
2024-01-03 19:45:00,900355,Am Stadtpark,51.49212,7.22238,86.569,7.197,5.165,0.622,469,,,
2024-01-03 20:00:00,900355,Am Stadtpark,51.49212,7.22238,86.567,7.175,3.046,0.367,466,3.711,11.05,22.7
2024-01-03 20:15:01,900355,Am Stadtpark,51.49212,7.22238,86.567,7.166,3.093,0.372,470,3.699,11.11,22.7
2024-01-03 20:30:01,900355,Am Stadtpark,51.49212,7.22238,86.568,7.163,0.806,0.097,467,,,
2024-01-03 20:45:01,900355,Am Stadtpark,51.49212,7.22238,86.567,7.188,0,0,472,,,
2024-01-03 21:00:00,900355,Am Stadtpark,51.49212,7.22238,86.57,7.203,0,0,466,3.708,11.08,22.7
2024-01-03 21:15:01,900355,Am Stadtpark,51.49212,7.22238,86.567,7.172,0,0,470,3.696,11.21,22.7
2024-01-03 21:30:01,900355,Am Stadtpark,51.49212,7.22238,86.571,7.172,0.601,0.072,471,,,
2024-01-03 21:45:01,900355,Am Stadtpark,51.49212,7.22238,86.569,7.144,1.279,0.154,468,,,
2024-01-03 22:00:00,900355,Am Stadtpark,51.49212,7.22238,86.574,7.156,3.494,0.421,466,3.71,11.36,22.8
2024-01-03 22:15:00,900355,Am Stadtpark,51.49212,7.22238,86.572,7.172,2.638,0.318,467,3.695,11.49,22.7
2024-01-03 22:30:00,900355,Am Stadtpark,51.49212,7.22238,86.571,7.184,4.609,0.555,469,,,
2024-01-03 22:45:00,900355,Am Stadtpark,51.49212,7.22238,86.569,7.141,5.551,0.669,466,,,
2024-01-03 23:00:00,900355,Am Stadtpark,51.49212,7.22238,86.568,7.138,4.414,0.532,468,3.713,11.36,22.7
2024-01-03 23:15:00,900355,Am Stadtpark,51.49212,7.22238,86.571,7.122,4.903,0.591,467,3.696,11.33,22.7
2024-01-03 23:30:00,900355,Am Stadtpark,51.49212,7.22238,86.56,7.156,5.933,0.715,464,,,
2024-01-03 23:45:00,900355,Am Stadtpark,51.49212,7.22238,86.565,7.166,6.046,0.728,470,,,
