datetime,outdoor_temperature,outdoor_feels_like,outdoor_app_temp,outdoor_dew_point,outdoor_humidity,indoor_temperature,indoor_humidity,solar_and_uvi_solar,solar_and_uvi_uvi,rainfall_piezo_rain_rate,rainfall_piezo_daily,rainfall_piezo_event,rainfall_piezo_hourly,rainfall_piezo_weekly,rainfall_piezo_monthly,rainfall_piezo_yearly,wind_wind_speed,wind_wind_gust,wind_wind_direction,pressure_relative,pressure_absolute,battery_haptic_array_battery,battery_haptic_array_capacitor
2024-04-14 15:20:00+02:00,,,,,,18.1,47.0,,,,,,,,,,,,,1008.3,1008.3,,
2024-04-14 15:24:16+02:00,16.2,16.2,13.2,5.1,48.0,18.4,47.0,680.4,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.8,17.6,255.0,1008.7,1008.7,3.06,1.4
2024-04-14 15:30:40+02:00,16.0,16.0,13.6,4.9,48.0,19.1,56.0,564.2,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.8,13.3,210.0,1008.9,1008.9,3.06,1.6
2024-04-14 15:34:56+02:00,16.1,16.1,13.3,4.7,47.0,19.7,67.0,753.1,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.2,16.6,233.0,1008.8,1008.8,3.06,1.7
2024-04-14 15:39:12+02:00,16.1,16.1,13.7,4.5,46.0,20.0,72.0,760.8,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.1,14.8,196.0,1008.8,1008.8,3.06,1.8
2024-04-14 15:45:36+02:00,16.3,16.3,14.3,4.8,47.0,20.4,74.0,728.1,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3,8.3,197.0,1008.8,1008.8,3.06,1.9
2024-04-14 15:49:52+02:00,16.5,16.5,14.4,5.1,47.0,20.7,75.0,730.9,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,17.3,209.0,1008.8,1008.8,3.06,2.0
2024-04-14 15:54:08+02:00,16.5,16.5,14.6,5.0,46.0,21.0,76.0,676.5,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9,12.2,233.0,1008.7,1008.7,3.06,2.1
2024-04-14 16:00:32+02:00,16.9,16.9,14.7,5.4,47.0,21.3,76.0,696.8,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,10.1,196.0,1008.7,1008.7,3.06,2.3
2024-04-14 16:04:48+02:00,16.6,16.6,15.0,5.2,47.0,21.5,77.0,733.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7,9.0,202.0,1008.7,1008.7,3.06,2.3
2024-04-14 16:09:04+02:00,16.7,16.7,14.4,5.1,46.0,21.7,77.0,689.1,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,17.6,220.0,1008.6,1008.6,3.06,2.5
2024-04-14 16:15:28+02:00,16.5,16.5,14.1,4.9,46.0,21.9,77.0,671.3,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.4,16.2,261.0,1008.7,1008.7,3.06,2.5
2024-04-14 16:19:44+02:00,16.5,16.5,14.3,5.0,47.0,22.0,77.0,568.4,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6,18.0,248.0,1008.6,1008.6,3.08,2.6
2024-04-14 16:24:00+02:00,16.6,16.6,14.5,5.2,47.0,22.1,77.0,410.7,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2,9.4,219.0,1008.6,1008.6,3.08,2.6
