datetime,logger_id,name,latitude,longitude,pegel,wtemp,o,do,elL,hkBat,hkTemp,hkHum,year_month
2025-06-01 00:00:00,900374,Rottmansteich,51.50016,7.24634,104.992,15.513,68.549,6.663,1186,3.737,20.17,12.9,2025-06
2025-06-01 00:00:00,900374,Rottmansteich,51.50016,7.24634,104.992,15.513,68.549,6.663,1186,3.737,20.17,12.9,2025-06
2025-06-01 00:15:00,900374,Rottmansteich,51.50016,7.24634,104.992,15.378,68.312,6.641,1198,3.715,20.04,12.9,2025-06
2025-06-01 00:30:00,900374,Rottmansteich,51.50016,7.24634,104.992,15.388,68.557,6.665,1174,,,,2025-06
2025-06-01 00:45:00,900374,Rottmansteich,51.50016,7.24634,104.992,15.559,67.972,6.608,1186,,,,2025-06
2025-06-01 01:00:00,900374,Rottmansteich,51.50016,7.24634,104.992,15.413,67.253,6.539,1193,3.733,19.62,12.9,2025-06
2025-06-01 01:15:00,900374,Rottmansteich,51.50016,7.24634,104.992,15.416,68.342,6.647,1194,3.715,19.59,12.9,2025-06
2025-06-01 01:30:00,900374,Rottmansteich,51.50016,7.24634,104.99,15.35,69.714,6.78,1181,,,,2025-06
2025-06-01 01:45:00,900374,Rottmansteich,51.50016,7.24634,104.992,15.278,69.59,6.768,1190,,,,2025-06
2025-06-01 02:00:00,900374,Rottmansteich,51.50016,7.24634,104.992,15.503,69.855,6.793,1122,3.739,19.26,12.9,2025-06
2025-06-01 02:15:00,900374,Rottmansteich,51.50016,7.24634,104.992,15.506,68.631,6.675,1115,3.715,19.21,12.9,2025-06
2025-06-01 02:30:00,900374,Rottmansteich,51.50016,7.24634,104.991,15.281,67.567,6.573,1165,,,,2025-06
2025-06-01 02:45:00,900374,Rottmansteich,51.50016,7.24634,104.992,15.241,66.886,6.507,1126,,,,2025-06
2025-06-01 03:00:00,900374,Rottmansteich,51.50016,7.24634,104.99,15.141,66.033,6.425,1121,3.735,18.98,12.9,2025-06
2025-06-01 03:15:00,900374,Rottmansteich,51.50016,7.24634,104.99,15.116,65.841,6.419,1132,3.721,18.96,12.9,2025-06
2025-06-01 03:30:00,900374,Rottmansteich,51.50016,7.24634,104.991,15.219,66.753,6.511,1118,,,,2025-06
2025-06-01 03:45:00,900374,Rottmansteich,51.50016,7.24634,104.99,15.103,68.347,6.674,1116,,,,2025-06
2025-06-01 04:00:00,900374,Rottmansteich,51.50016,7.24634,104.991,15.069,68.674,6.708,1109,3.73,18.81,12.9,2025-06
2025-06-01 04:15:00,900374,Rottmansteich,51.50016,7.24634,104.99,14.994,68.368,6.684,1115,3.71,18.88,12.8,2025-06
2025-06-01 04:30:00,900374,Rottmansteich,51.50016,7.24634,104.99,15.053,67.985,6.652,1113,,,,2025-06
2025-06-01 04:45:00,900374,Rottmansteich,51.50016,7.24634,104.99,15.109,68.623,6.72,1116,,,,2025-06
2025-06-01 05:00:00,900374,Rottmansteich,51.50016,7.24634,104.99,15.094,68.978,6.75,1110,3.734,18.9,12.9,2025-06
2025-06-01 05:15:00,900374,Rottmansteich,51.50016,7.24634,104.99,14.953,69.686,6.83,1114,3.709,19.07,12.9,2025-06
2025-06-01 05:30:00,900374,Rottmansteich,51.50016,7.24634,104.99,14.953,70.356,6.903,1122,,,,2025-06
2025-06-01 05:45:00,900374,Rottmansteich,51.50016,7.24634,104.99,15.031,69.861,6.845,1116,,,,2025-06
2025-06-01 06:00:00,900374,Rottmansteich,51.50016,7.24634,104.989,14.934,68.722,6.735,1113,3.733,19.36,12.9,2025-06
2025-06-01 06:15:01,900374,Rottmansteich,51.50016,7.24634,104.99,15.028,66.279,6.495,1169,3.718,19.44,12.9,2025-06
2025-06-01 06:30:01,900374,Rottmansteich,51.50016,7.24634,104.99,15.025,65.35,6.4,1153,,,,2025-06
2025-06-01 06:45:01,900374,Rottmansteich,51.50016,7.24634,104.99,15.019,65.358,6.402,1153,,,,2025-06
2025-06-01 07:00:00,900374,Rottmansteich,51.50016,7.24634,104.99,14.981,64.937,6.361,1150,3.735,19.57,12.9,2025-06
2025-06-01 07:15:01,900374,Rottmansteich,51.50016,7.24634,104.989,15.0,63.973,6.262,1147,3.711,19.68,12.9,2025-06
2025-06-01 07:30:01,900374,Rottmansteich,51.50016,7.24634,104.988,15.05,63.075,6.174,1157,,,,2025-06
2025-06-01 07:45:01,900374,Rottmansteich,51.50016,7.24634,104.99,15.141,63.507,6.214,1148,,,,2025-06
2025-06-01 08:00:00,900374,Rottmansteich,51.50016,7.24634,104.99,15.009,63.588,6.227,1146,3.739,19.77,12.9,2025-06
2025-06-01 08:15:00,900374,Rottmansteich,51.50016,7.24634,104.99,15.034,63.93,6.258,1160,3.72,19.9,12.9,2025-06
2025-06-01 08:30:00,900374,Rottmansteich,51.50016,7.24634,104.99,15.053,64.775,6.339,1153,,,,2025-06
2025-06-01 08:45:00,900374,Rottmansteich,51.50016,7.24634,104.989,15.025,65.674,6.43,1155,,,,2025-06
2025-06-01 09:00:00,900374,Rottmansteich,51.50016,7.24634,104.989,15.022,66.225,6.481,1155,3.73,20.22,13.0,2025-06
2025-06-01 09:15:00,900374,Rottmansteich,51.50016,7.24634,104.989,15.084,66.653,6.517,1141,3.722,20.41,13.0,2025-06
2025-06-01 09:30:00,900374,Rottmansteich,51.50016,7.24634,104.989,15.053,66.704,6.518,1151,,,,2025-06
2025-06-01 09:45:00,900374,Rottmansteich,51.50016,7.24634,104.989,15.066,67.449,6.595,1156,,,,2025-06
2025-06-01 10:00:00,900374,Rottmansteich,51.50016,7.24634,104.989,15.131,68.462,6.675,1165,3.737,20.74,13.0,2025-06
2025-06-01 10:15:00,900374,Rottmansteich,51.50016,7.24634,104.989,15.053,67.849,6.618,1150,3.729,20.92,13.0,2025-06
2025-06-01 10:30:00,900374,Rottmansteich,51.50016,7.24634,104.989,15.072,67.855,6.616,1156,,,,2025-06
2025-06-01 10:45:00,900374,Rottmansteich,51.50016,7.24634,104.989,15.047,67.704,6.6,1157,,,,2025-06
2025-06-01 11:00:00,900374,Rottmansteich,51.50016,7.24634,104.99,15.053,67.756,6.604,1145,3.734,21.45,13.1,2025-06
2025-06-01 11:15:01,900374,Rottmansteich,51.50016,7.24634,104.989,15.144,68.164,6.645,1155,3.724,21.68,13.2,2025-06
2025-06-01 11:30:01,900374,Rottmansteich,51.50016,7.24634,104.989,15.178,68.737,6.696,1148,,,,2025-06
2025-06-01 11:45:01,900374,Rottmansteich,51.50016,7.24634,104.989,15.209,69.06,6.726,1146,,,,2025-06
