datetime,logger_id,name,latitude,longitude,pegel,wtemp,o,do,elL,hkBat,hkTemp,hkHum,year_month
2025-01-01 00:00:00,900415,Kuehlteich,51.48196,7.19709,75.907,3.528,75.563,9.937,,3.699,7.17,45.4,2025-01
2025-01-01 00:00:00,900415,Kuehlteich,51.48196,7.19709,75.907,3.528,75.563,9.937,,3.699,7.17,45.4,2025-01
2025-01-01 00:15:01,900415,Kuehlteich,51.48196,7.19709,75.908,3.541,76.07,10.003,,3.69,7.22,45.3,2025-01
2025-01-01 00:30:01,900415,Kuehlteich,51.48196,7.19709,75.909,3.563,75.801,9.968,,,,,2025-01
2025-01-01 00:45:01,900415,Kuehlteich,51.48196,7.19709,75.907,3.569,76.511,10.061,,,,,2025-01
2025-01-01 01:00:00,900415,Kuehlteich,51.48196,7.19709,75.909,3.581,77.945,10.25,,3.7,7.35,45.4,2025-01
2025-01-01 01:15:01,900415,Kuehlteich,51.48196,7.19709,75.91,3.547,78.514,10.325,,3.684,7.44,45.4,2025-01
2025-01-01 01:30:01,900415,Kuehlteich,51.48196,7.19709,75.907,3.653,79.198,10.415,,,,,2025-01
2025-01-01 01:45:01,900415,Kuehlteich,51.48196,7.19709,75.908,3.569,79.544,10.46,,,,,2025-01
2025-01-01 02:00:00,900415,Kuehlteich,51.48196,7.19709,75.905,3.541,79.171,10.411,,3.694,7.56,45.5,2025-01
2025-01-01 02:15:00,900415,Kuehlteich,51.48196,7.19709,75.908,3.547,79.418,10.444,,3.683,7.68,45.4,2025-01
2025-01-01 02:30:00,900415,Kuehlteich,51.48196,7.19709,75.907,3.566,78.813,10.364,,,,,2025-01
2025-01-01 02:45:00,900415,Kuehlteich,51.48196,7.19709,75.909,3.55,79.041,10.394,,,,,2025-01
2025-01-01 03:00:00,900415,Kuehlteich,51.48196,7.19709,75.907,3.538,78.804,10.363,,3.696,7.84,45.5,2025-01
2025-01-01 03:15:00,900415,Kuehlteich,51.48196,7.19709,75.908,3.566,77.827,10.235,,3.684,7.94,45.5,2025-01
2025-01-01 03:30:00,900415,Kuehlteich,51.48196,7.19709,75.906,3.591,77.891,10.243,,,,,2025-01
2025-01-01 03:45:00,900415,Kuehlteich,51.48196,7.19709,75.907,3.569,77.731,10.222,,,,,2025-01
2025-01-01 04:00:01,900415,Kuehlteich,51.48196,7.19709,75.907,3.506,79.018,10.392,,3.693,8.06,45.5,2025-01
2025-01-01 04:15:01,900415,Kuehlteich,51.48196,7.19709,75.907,3.566,78.986,10.387,,3.681,8.13,45.4,2025-01
2025-01-01 04:30:01,900415,Kuehlteich,51.48196,7.19709,75.905,3.547,79.106,10.403,,,,,2025-01
2025-01-01 04:45:01,900415,Kuehlteich,51.48196,7.19709,75.906,3.534,79.643,10.474,,,,,2025-01
2025-01-01 05:00:00,900415,Kuehlteich,51.48196,7.19709,75.908,3.538,79.531,10.459,,3.703,8.19,45.6,2025-01
2025-01-01 05:15:00,900415,Kuehlteich,51.48196,7.19709,75.909,3.544,80.047,10.527,,3.678,8.35,45.5,2025-01
2025-01-01 05:30:00,900415,Kuehlteich,51.48196,7.19709,75.905,3.569,80.303,10.561,,,,,2025-01
2025-01-01 05:45:00,900415,Kuehlteich,51.48196,7.19709,75.907,3.547,81.045,10.658,,,,,2025-01
2025-01-01 06:00:00,900415,Kuehlteich,51.48196,7.19709,75.906,3.534,82.23,10.814,,3.697,8.56,45.6,2025-01
2025-01-01 06:15:01,900415,Kuehlteich,51.48196,7.19709,75.907,3.547,82.685,10.874,,3.685,8.68,45.6,2025-01
2025-01-01 06:30:01,900415,Kuehlteich,51.48196,7.19709,75.905,3.641,82.318,10.826,,,,,2025-01
2025-01-01 06:45:01,900415,Kuehlteich,51.48196,7.19709,75.909,3.553,81.295,10.692,,,,,2025-01
2025-01-01 07:00:00,900415,Kuehlteich,51.48196,7.19709,75.907,3.544,82.147,10.803,,3.702,8.79,45.6,2025-01
2025-01-01 07:15:00,900415,Kuehlteich,51.48196,7.19709,75.909,3.544,83.005,10.916,,3.67,9.06,45.4,2025-01
2025-01-01 07:30:00,900415,Kuehlteich,51.48196,7.19709,75.901,3.528,82.992,10.915,,,,,2025-01
2025-01-01 07:45:00,900415,Kuehlteich,51.48196,7.19709,75.904,3.544,82.804,10.89,,,,,2025-01
2025-01-01 08:00:01,900415,Kuehlteich,51.48196,7.19709,75.909,3.519,83.169,10.938,,3.694,9.0,45.7,2025-01
2025-01-01 08:15:00,900415,Kuehlteich,51.48196,7.19709,75.904,3.55,83.07,10.925,,3.692,9.11,45.7,2025-01
2025-01-01 08:30:00,900415,Kuehlteich,51.48196,7.19709,75.901,3.547,83.491,10.98,,,,,2025-01
2025-01-01 08:45:00,900415,Kuehlteich,51.48196,7.19709,75.905,3.575,84.331,11.09,,,,,2025-01
2025-01-01 09:00:01,900415,Kuehlteich,51.48196,7.19709,75.904,3.547,83.585,10.992,,3.707,9.37,45.8,2025-01
2025-01-01 09:15:00,900415,Kuehlteich,51.48196,7.19709,75.905,3.534,82.508,10.851,,3.687,9.46,45.7,2025-01
2025-01-01 09:30:00,900415,Kuehlteich,51.48196,7.19709,75.909,3.541,82.986,10.914,,,,,2025-01
2025-01-01 09:45:00,900415,Kuehlteich,51.48196,7.19709,75.905,3.522,82.778,10.886,,,,,2025-01
2025-01-01 10:00:01,900415,Kuehlteich,51.48196,7.19709,75.904,3.534,82.483,10.847,,3.699,9.61,45.8,2025-01
2025-01-01 10:15:00,900415,Kuehlteich,51.48196,7.19709,75.905,3.541,83.654,11.001,,3.693,9.72,45.8,2025-01
2025-01-01 10:30:00,900415,Kuehlteich,51.48196,7.19709,75.9,3.531,84.1,11.059,,,,,2025-01
2025-01-01 10:45:00,900415,Kuehlteich,51.48196,7.19709,75.906,3.6,84.24,11.078,,,,,2025-01
2025-01-01 11:00:01,900415,Kuehlteich,51.48196,7.19709,75.905,3.569,84.235,11.077,,3.7,9.93,45.9,2025-01
2025-01-01 11:15:00,900415,Kuehlteich,51.48196,7.19709,75.902,3.569,84.3,11.085,,3.683,10.07,45.9,2025-01
2025-01-01 11:30:00,900415,Kuehlteich,51.48196,7.19709,75.903,3.566,83.828,11.023,,,,,2025-01
2025-01-01 11:45:00,900415,Kuehlteich,51.48196,7.19709,75.907,3.584,84.759,11.145,,,,,2025-01
2025-01-01 12:00:01,900415,Kuehlteich,51.48196,7.19709,75.901,3.572,84.672,11.133,,3.703,10.39,46.0,2025-01
2025-01-01 12:15:00,900415,Kuehlteich,51.48196,7.19709,75.904,3.603,84.002,11.045,,3.692,10.56,46.0,2025-01
2025-01-01 12:30:00,900415,Kuehlteich,51.48196,7.19709,75.903,3.609,84.424,11.1,,,,,2025-01
2025-01-01 12:45:00,900415,Kuehlteich,51.48196,7.19709,75.905,3.603,85.903,11.294,,,,,2025-01
2025-01-01 13:00:01,900415,Kuehlteich,51.48196,7.19709,75.902,3.656,86.827,11.415,,3.705,10.83,46.0,2025-01
2025-01-01 13:15:00,900415,Kuehlteich,51.48196,7.19709,75.903,3.594,86.671,11.395,,3.688,10.98,46.0,2025-01
2025-01-01 13:30:00,900415,Kuehlteich,51.48196,7.19709,75.899,3.594,86.827,11.415,,,,,2025-01
2025-01-01 13:45:00,900415,Kuehlteich,51.48196,7.19709,75.9,3.641,87.267,11.473,,,,,2025-01
2025-01-01 14:00:01,900415,Kuehlteich,51.48196,7.19709,75.903,3.656,86.585,11.383,,3.703,11.2,46.1,2025-01
2025-01-01 14:15:00,900415,Kuehlteich,51.48196,7.19709,75.901,3.666,87.604,11.517,,3.698,11.29,46.1,2025-01
2025-01-01 14:30:00,900415,Kuehlteich,51.48196,7.19709,75.905,3.672,87.965,11.564,,,,,2025-01
2025-01-01 14:45:00,900415,Kuehlteich,51.48196,7.19709,75.904,3.7,88.601,11.647,,,,,2025-01
2025-01-01 15:00:01,900415,Kuehlteich,51.48196,7.19709,75.904,3.653,88.413,11.623,,3.709,11.23,46.1,2025-01
2025-01-01 15:15:00,900415,Kuehlteich,51.48196,7.19709,75.904,3.672,87.72,11.531,,3.69,11.23,46.0,2025-01
2025-01-01 15:30:00,900415,Kuehlteich,51.48196,7.19709,75.897,3.65,88.135,11.586,,,,,2025-01
2025-01-01 15:45:00,900415,Kuehlteich,51.48196,7.19709,75.905,3.669,88.611,11.648,,,,,2025-01
2025-01-01 16:00:01,900415,Kuehlteich,51.48196,7.19709,75.902,3.656,87.864,11.55,,3.708,11.08,46.1,2025-01
2025-01-01 16:15:00,900415,Kuehlteich,51.48196,7.19709,75.907,3.65,88.375,11.617,,3.688,11.12,46.0,2025-01
2025-01-01 16:30:00,900415,Kuehlteich,51.48196,7.19709,75.9,3.694,88.081,11.578,,,,,2025-01
2025-01-01 16:45:00,900415,Kuehlteich,51.48196,7.19709,75.897,3.669,88.295,11.607,,,,,2025-01
2025-01-01 17:00:01,900415,Kuehlteich,51.48196,7.19709,75.907,3.659,88.423,11.623,,3.708,11.04,46.1,2025-01
2025-01-01 17:15:00,900415,Kuehlteich,51.48196,7.19709,75.91,3.672,88.75,11.666,,3.692,11.08,46.1,2025-01
2025-01-01 17:30:00,900415,Kuehlteich,51.48196,7.19709,75.913,3.641,88.209,11.595,,,,,2025-01
2025-01-01 17:45:00,900415,Kuehlteich,51.48196,7.19709,75.896,3.794,88.348,11.613,,,,,2025-01
2025-01-01 18:00:01,900415,Kuehlteich,51.48196,7.19709,75.907,3.7,87.927,11.558,,3.703,11.1,46.1,2025-01
2025-01-01 18:15:00,900415,Kuehlteich,51.48196,7.19709,75.901,3.691,87.884,11.552,,3.695,11.17,46.1,2025-01
2025-01-01 18:30:00,900415,Kuehlteich,51.48196,7.19709,75.902,3.731,87.776,11.537,,,,,2025-01
2025-01-01 18:45:00,900415,Kuehlteich,51.48196,7.19709,75.905,3.691,87.718,11.53,,,,,2025-01
2025-01-01 19:00:01,900415,Kuehlteich,51.48196,7.19709,75.904,3.697,87.26,11.47,,3.71,11.22,46.2,2025-01
2025-01-01 19:15:00,900415,Kuehlteich,51.48196,7.19709,75.897,3.691,87.862,11.549,,3.698,11.27,46.1,2025-01
2025-01-01 19:30:00,900415,Kuehlteich,51.48196,7.19709,75.899,3.756,87.075,11.445,,,,,2025-01
2025-01-01 19:45:00,900415,Kuehlteich,51.48196,7.19709,75.898,3.722,86.991,11.434,,,,,2025-01
2025-01-01 20:00:01,900415,Kuehlteich,51.48196,7.19709,75.905,3.716,87.247,11.467,,3.706,11.16,46.1,2025-01
2025-01-01 20:15:01,900415,Kuehlteich,51.48196,7.19709,75.899,3.719,87.18,11.459,,3.678,11.42,45.9,2025-01
2025-01-01 20:30:01,900415,Kuehlteich,51.48196,7.19709,75.9,3.713,87.137,11.452,,,,,2025-01
2025-01-01 20:45:01,900415,Kuehlteich,51.48196,7.19709,75.904,3.722,87.183,11.458,,,,,2025-01
2025-01-01 21:00:00,900415,Kuehlteich,51.48196,7.19709,75.902,3.869,86.926,11.424,,3.7,11.38,46.1,2025-01
2025-01-01 21:15:00,900415,Kuehlteich,51.48196,7.19709,75.899,3.741,86.021,11.305,,3.692,11.35,46.1,2025-01
2025-01-01 21:30:00,900415,Kuehlteich,51.48196,7.19709,75.899,3.794,85.236,11.203,,,,,2025-01
2025-01-01 21:45:00,900415,Kuehlteich,51.48196,7.19709,75.904,3.775,83.581,10.985,,,,,2025-01
2025-01-01 22:00:00,900415,Kuehlteich,51.48196,7.19709,75.904,3.781,83.257,10.942,,3.707,11.01,46.1,2025-01
2025-01-01 22:15:01,900415,Kuehlteich,51.48196,7.19709,75.905,3.788,82.675,10.865,,3.694,10.96,46.1,2025-01
2025-01-01 22:30:01,900415,Kuehlteich,51.48196,7.19709,75.907,3.775,81.738,10.742,,,,,2025-01
2025-01-01 22:45:01,900415,Kuehlteich,51.48196,7.19709,75.908,3.838,81.564,10.718,,,,,2025-01
2025-01-01 23:00:00,900415,Kuehlteich,51.48196,7.19709,75.909,3.8,81.082,10.655,,3.712,10.65,46.0,2025-01
2025-01-01 23:15:01,900415,Kuehlteich,51.48196,7.19709,75.909,3.797,80.253,10.546,,3.692,10.51,46.0,2025-01
2025-01-01 23:30:01,900415,Kuehlteich,51.48196,7.19709,75.91,3.825,79.548,10.453,,,,,2025-01
2025-01-01 23:45:01,900415,Kuehlteich,51.48196,7.19709,75.91,3.813,78.646,10.335,,,,,2025-01
2025-01-02 00:00:00,900415,Kuehlteich,51.48196,7.19709,75.912,3.8,77.876,10.234,,3.705,10.06,46.0,2025-01
