datetime,outdoor_temperature,outdoor_feels_like,outdoor_app_temp,outdoor_dew_point,outdoor_humidity,indoor_temperature,indoor_humidity,solar_and_uvi_solar,solar_and_uvi_uvi,rainfall_piezo_rain_rate,rainfall_piezo_daily,rainfall_piezo_event,rainfall_piezo_hourly,rainfall_piezo_weekly,rainfall_piezo_monthly,rainfall_piezo_yearly,wind_wind_speed,wind_wind_gust,wind_wind_direction,pressure_relative,pressure_absolute,battery_haptic_array_battery,battery_haptic_array_capacitor
2025-09-01 02:00:00+02:00,18.2,18.2,20.2,16.7,91.0,21.5,90.0,0.0,0.0,0.0,0.4,0.4,0.3,0.4,0.4,290.1,1.3,4.0,198.0,994.9,994.9,2.28,4.7
2025-09-01 02:05:00+02:00,18.1,18.1,20.4,16.8,92.0,21.5,90.0,0.0,0.0,0.0,0.4,0.4,0.3,0.4,0.4,290.1,0.4,2.2,205.0,995.0,995.0,2.28,4.7
2025-09-01 02:10:00+02:00,18.1,18.1,20.1,16.8,92.0,21.5,90.0,0.0,0.0,0.6,0.5,0.5,0.4,0.5,0.5,290.2,1.4,3.2,204.0,994.9,994.9,2.28,4.7
2025-09-01 02:15:00+02:00,18.0,18.0,20.1,16.8,93.0,21.4,90.0,0.0,0.0,0.6,0.5,0.5,0.4,0.5,0.5,290.2,1.4,3.2,220.0,995.0,995.0,2.38,4.7
2025-09-01 02:20:00+02:00,18.0,18.0,19.9,16.8,93.0,21.4,90.0,0.0,0.0,1.2,0.6,0.6,0.5,0.6,0.6,290.3,2.3,4.0,207.0,994.9,994.9,2.44,4.7
2025-09-01 02:25:00+02:00,17.9,17.9,20.1,16.8,93.0,21.4,90.0,0.0,0.0,1.2,0.7,0.7,0.5,0.7,0.7,290.4,0.4,3.6,195.0,994.9,994.9,2.94,4.6
2025-09-01 02:30:00+02:00,17.9,17.8,19.8,16.9,94.0,21.4,90.0,0.0,0.0,1.2,0.8,0.8,0.5,0.8,0.8,290.5,2.3,3.6,206.0,994.8,994.8,3.28,4.6
2025-09-01 02:35:00+02:00,17.8,17.8,19.9,16.8,94.0,21.3,90.0,0.0,0.0,1.2,0.8,0.8,0.5,0.8,0.8,290.5,1.2,4.3,199.0,994.9,994.9,3.28,4.6
2025-09-01 02:40:00+02:00,17.8,17.8,20.1,17.0,95.0,21.3,90.0,0.0,0.0,0.6,0.8,0.8,0.4,0.8,0.8,290.5,0.4,2.9,216.0,994.8,994.8,3.28,4.6
2025-09-01 02:45:00+02:00,17.7,17.7,20.0,16.9,95.0,21.3,90.0,0.0,0.0,0.6,0.9,0.9,0.5,0.9,0.9,290.6,0.4,2.5,181.0,994.7,994.7,3.28,4.6
2025-09-01 02:50:00+02:00,17.7,17.7,19.7,16.9,95.0,21.3,90.0,0.0,0.0,1.2,1.0,1.0,0.6,1.0,1.0,290.7,1.6,3.6,204.0,994.9,994.9,3.28,4.6
2025-09-01 02:55:00+02:00,17.7,17.7,19.8,17.0,95.0,21.2,90.0,0.0,0.0,2.4,1.3,1.3,0.9,1.3,1.3,291.0,1.3,3.6,199.0,994.9,994.9,3.28,4.6
2025-09-01 03:00:00+02:00,17.7,17.7,19.6,17.0,96.0,21.2,90.0,0.0,0.0,7.8,2.3,2.3,1.9,2.3,2.3,292.0,2.7,5.0,206.0,994.9,994.9,3.28,4.5
2025-09-01 03:05:00+02:00,17.6,17.6,19.4,16.9,96.0,21.2,90.0,0.0,0.0,8.4,2.7,2.7,2.3,2.7,2.7,292.4,2.9,5.8,208.0,994.8,994.8,3.28,4.5
2025-09-01 03:10:00+02:00,17.6,17.6,19.5,16.9,96.0,21.1,90.0,0.0,0.0,6.6,2.8,2.8,2.3,2.8,2.8,292.5,2.2,5.4,214.0,994.7,994.7,3.28,4.5
2025-09-01 03:15:00+02:00,17.6,17.6,19.8,16.9,96.0,21.1,90.0,0.0,0.0,2.4,2.9,2.9,2.4,2.9,2.9,292.6,0.5,3.6,234.0,994.7,994.7,3.28,4.5
2025-09-01 03:20:00+02:00,17.6,17.6,19.3,17.0,97.0,21.1,90.0,0.0,0.0,2.4,3.2,3.2,2.6,3.2,3.2,292.9,3.5,4.7,182.0,994.8,994.8,3.28,4.5
2025-09-01 03:25:00+02:00,17.5,17.5,19.4,17.0,97.0,21.1,90.0,0.0,0.0,3.6,3.5,3.5,2.8,3.5,3.5,293.2,2.7,5.8,205.0,994.7,994.7,3.28,4.4
2025-09-01 03:30:00+02:00,17.4,17.3,19.3,16.9,97.0,21.1,90.0,0.0,0.0,4.2,3.7,3.7,2.9,3.7,3.7,293.4,1.9,4.7,235.0,994.8,994.8,3.28,4.4
2025-09-01 03:35:00+02:00,17.2,17.2,19.1,16.7,97.0,21.0,90.0,0.0,0.0,4.2,4.2,4.2,3.4,4.2,4.2,293.9,2.0,4.0,220.0,994.7,994.7,3.28,4.4
2025-09-01 03:40:00+02:00,17.1,17.1,19.1,16.6,97.0,21.0,90.0,0.0,0.0,6.0,4.8,4.8,4.0,4.8,4.8,294.5,1.1,3.2,223.0,994.8,994.8,3.28,4.4
2025-09-01 03:45:00+02:00,17.1,17.1,19.1,16.6,97.0,21.0,90.0,0.0,0.0,7.2,5.4,5.4,4.5,5.4,5.4,295.1,0.9,3.6,214.0,994.7,994.7,3.28,4.4
2025-09-01 03:50:00+02:00,17.0,17.0,18.8,16.5,97.0,21.0,90.0,0.0,0.0,7.2,5.8,5.8,4.8,5.8,5.8,295.5,1.7,3.6,320.0,994.8,994.8,3.28,4.3
2025-09-01 03:55:00+02:00,16.9,16.9,18.8,16.4,97.0,21.0,90.0,0.0,0.0,7.8,6.7,6.7,5.4,6.7,6.7,296.4,1.5,3.2,224.0,994.7,994.7,3.28,4.3
2025-09-01 04:00:00+02:00,16.8,16.8,18.6,16.4,97.0,20.9,90.0,0.0,0.0,10.2,7.6,7.6,5.2,7.6,7.6,297.3,1.9,4.0,242.0,994.6,994.6,3.28,4.3
2025-09-01 04:05:00+02:00,16.8,16.8,18.4,16.3,97.0,20.9,90.0,0.0,0.0,9.6,8.1,8.1,5.4,8.1,8.1,297.8,2.6,4.3,252.0,994.6,994.6,3.28,4.3
2025-09-01 04:10:00+02:00,16.8,16.8,18.4,16.3,97.0,20.9,90.0,0.0,0.0,7.8,8.9,8.9,6.1,8.9,8.9,298.6,2.7,5.8,246.0,994.4,994.4,3.28,4.3
2025-09-01 04:15:00+02:00,16.8,16.8,18.0,16.3,97.0,20.9,90.0,0.0,0.0,9.6,9.6,9.6,6.7,9.6,9.6,299.3,4.4,6.8,284.0,994.1,994.1,3.28,4.2
2025-09-01 04:20:00+02:00,16.9,16.9,18.7,16.4,97.0,20.8,90.0,0.0,0.0,11.4,10.9,10.9,7.7,10.9,10.9,300.6,2.1,5.4,9.0,994.4,994.4,3.28,4.2
2025-09-01 04:25:00+02:00,16.9,16.9,18.6,16.4,97.0,20.8,90.0,0.0,0.0,20.4,13.0,13.0,9.5,13.0,13.0,302.7,2.4,5.4,195.0,994.6,994.6,3.28,4.2
2025-09-01 04:30:00+02:00,16.9,16.9,17.9,16.4,97.0,20.7,90.0,0.0,0.0,24.0,14.9,14.9,11.1,14.9,14.9,304.6,5.9,10.1,222.0,994.7,994.7,3.28,4.2
2025-09-01 04:35:00+02:00,16.7,16.7,18.4,16.3,97.0,20.7,90.0,0.0,0.0,24.6,16.5,16.5,12.3,16.5,16.5,306.2,2.3,5.0,208.0,994.5,994.5,3.28,4.2
2025-09-01 04:40:00+02:00,16.7,16.7,18.7,16.2,97.0,20.6,90.0,0.0,0.0,18.6,17.3,17.3,12.4,17.3,17.3,307.0,0.5,3.6,217.0,994.6,994.6,3.28,4.1
2025-09-01 04:45:00+02:00,16.7,16.7,18.4,16.2,97.0,20.6,90.0,0.0,0.0,10.8,17.7,17.7,12.3,17.7,17.7,307.4,1.8,3.2,195.0,994.6,994.6,3.28,4.1
2025-09-01 04:50:00+02:00,16.6,16.6,18.1,16.1,97.0,20.5,90.0,0.0,0.0,6.0,18.1,18.1,12.2,18.1,18.1,307.8,2.4,4.7,194.0,994.5,994.5,3.28,4.1
2025-09-01 04:55:00+02:00,16.3,16.3,18.1,15.9,97.0,20.5,90.0,0.0,0.0,4.8,18.5,18.5,11.7,18.5,18.5,308.2,0.8,4.0,263.0,994.5,994.5,3.28,4.1
2025-09-01 05:00:00+02:00,16.3,16.3,17.9,15.8,97.0,20.5,90.0,0.0,0.0,4.2,18.7,18.7,11.1,18.7,18.7,308.4,1.2,3.2,265.0,994.3,994.3,3.28,4.0
