datetime,outdoor_temperature,outdoor_feels_like,outdoor_app_temp,outdoor_dew_point,outdoor_humidity,indoor_temperature,indoor_humidity,solar_and_uvi_solar,solar_and_uvi_uvi,rainfall_piezo_rain_rate,rainfall_piezo_daily,rainfall_piezo_event,rainfall_piezo_hourly,rainfall_piezo_weekly,rainfall_piezo_monthly,rainfall_piezo_yearly,wind_wind_speed,wind_wind_gust,wind_wind_direction,pressure_relative,pressure_absolute,battery_haptic_array_battery,battery_haptic_array_capacitor
2024-11-01 01:00:00+01:00,6.4,6.3,5.5,6.1,98.0,13.6,80.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.0,430.5,0.0,2.2,44.0,1012.0,1012.0,3.04,3.6
2024-11-01 01:05:00+01:00,6.2,6.2,5.3,5.9,98.0,13.5,80.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.0,430.5,0.0,3.2,270.0,1012.0,1012.0,3.04,3.6
2024-11-01 01:10:00+01:00,5.9,5.8,4.8,5.6,98.0,13.5,80.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.0,430.5,0.0,2.2,294.0,1012.0,1012.0,3.04,3.6
2024-11-01 01:15:00+01:00,5.8,5.8,4.8,5.5,98.0,13.5,80.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.0,430.5,0.0,2.2,287.0,1011.9,1011.9,3.04,3.6
2024-11-01 01:20:00+01:00,6.0,6.0,4.9,5.7,98.0,13.4,80.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.0,430.5,0.4,2.5,316.0,1011.9,1011.9,3.04,3.6
2024-11-01 01:25:00+01:00,6.0,6.0,5.0,5.7,98.0,13.4,80.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.0,430.5,0.0,2.5,308.0,1011.9,1011.9,3.04,3.6
2024-11-01 01:30:00+01:00,6.0,6.0,5.0,5.7,98.0,13.4,80.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.0,430.5,0.0,2.5,263.0,1011.9,1011.9,3.04,3.6
2024-11-01 01:35:00+01:00,6.2,6.2,5.3,5.9,98.0,13.4,80.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.0,430.5,0.0,2.2,274.0,1011.8,1011.8,3.04,3.6
2024-11-01 01:40:00+01:00,6.1,6.1,5.1,5.8,98.0,13.3,80.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.0,430.5,0.0,2.5,332.0,1011.7,1011.7,3.04,3.6
2024-11-01 01:45:00+01:00,6.2,6.2,5.3,5.9,98.0,13.3,80.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.0,430.5,0.0,1.8,178.0,1011.7,1011.7,3.04,3.6
2024-11-01 01:50:00+01:00,6.2,6.2,5.1,5.9,98.0,13.3,80.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.0,430.5,0.5,1.8,288.0,1011.7,1011.7,3.04,3.6
2024-11-01 01:55:00+01:00,6.2,6.2,5.3,5.9,98.0,13.2,80.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.0,430.5,0.0,2.2,309.0,1011.7,1011.7,3.04,3.6
