datetime,outdoor_temperature,outdoor_feels_like,outdoor_app_temp,outdoor_dew_point,outdoor_humidity,indoor_temperature,indoor_humidity,indoor_dew_point,indoor_feels_like,indoor_app_tempin,solar_and_uvi_solar,solar_and_uvi_uvi,rainfall_piezo_rain_rate,rainfall_piezo_daily,rainfall_piezo_event,rainfall_piezo_1_hour,rainfall_piezo_weekly,rainfall_piezo_monthly,rainfall_piezo_yearly,wind_wind_speed,wind_wind_gust,wind_wind_direction,pressure_relative,pressure_absolute,battery_haptic_array_battery,battery_haptic_array_capacitor
2025-10-01 02:00:00+02:00,6.9,6.9,6.1,6.4,97.0,12.4,89.0,10.7,12.4,12.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,319.0,0.0,2.9,9.0,1014.7,1014.7,3.28,4.8
2025-10-01 02:05:00+02:00,7.0,7.0,6.2,6.5,97.0,12.4,89.0,10.6,12.3,12.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,319.0,0.0,2.9,17.0,1014.7,1014.7,3.28,4.8
2025-10-01 02:10:00+02:00,7.1,7.1,6.3,6.7,97.0,12.3,89.0,10.6,12.3,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,319.0,0.0,2.9,40.0,1014.8,1014.8,3.28,4.8
2025-10-01 02:15:00+02:00,7.2,7.2,6.2,6.7,97.0,12.3,89.0,10.6,12.3,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,319.0,1.1,2.9,359.0,1014.7,1014.7,3.28,4.8
2025-10-01 02:20:00+02:00,7.3,7.3,6.3,6.8,97.0,12.2,89.0,10.5,12.2,12.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,319.0,1.3,3.6,7.0,1014.7,1014.7,3.28,4.8
2025-10-01 02:25:00+02:00,7.3,7.3,6.5,6.8,97.0,12.2,89.0,10.4,12.2,12.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,319.0,0.4,3.2,357.0,1014.8,1014.8,3.28,4.8
2025-10-01 02:30:00+02:00,7.2,7.2,6.3,6.8,97.0,12.2,89.0,10.4,12.2,12.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,319.0,0.6,3.2,329.0,1014.8,1014.8,3.28,4.8
2025-10-01 02:35:00+02:00,7.2,7.2,6.3,6.8,97.0,12.1,89.0,10.4,12.2,12.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,319.0,0.8,2.9,0.0,1014.7,1014.7,3.28,4.8
2025-10-01 02:40:00+02:00,7.2,7.2,6.4,6.8,97.0,12.1,89.0,10.3,12.1,12.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,319.0,0.4,2.2,3.0,1014.7,1014.7,3.28,4.8
2025-10-01 02:45:00+02:00,7.1,7.1,6.3,6.6,97.0,12.1,89.0,10.3,12.1,12.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,319.0,0.0,2.2,359.0,1014.7,1014.7,3.28,4.7
2025-10-01 02:50:00+02:00,7.1,7.1,6.3,6.6,97.0,12.0,89.0,10.2,12.0,12.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,319.0,0.0,3.2,334.0,1014.7,1014.7,3.28,4.7
2025-10-01 02:55:00+02:00,7.1,7.1,6.3,6.5,96.0,12.0,89.0,10.2,12.0,12.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,319.0,0.0,2.2,337.0,1014.8,1014.8,3.28,4.7
2025-10-01 03:00:00+02:00,7.1,7.1,6.3,6.5,96.0,12.0,89.0,10.2,12.0,12.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,319.0,0.0,2.5,350.0,1014.6,1014.6,3.28,4.7
2025-10-01 03:05:00+02:00,7.0,7.0,6.1,6.4,96.0,11.9,89.0,10.2,11.9,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,319.0,0.4,2.5,0.0,1014.7,1014.7,3.28,4.7
2025-10-01 03:10:00+02:00,6.9,6.9,6.1,6.4,96.0,11.9,89.0,10.2,11.9,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,319.0,0.0,2.2,345.0,1014.7,1014.7,3.28,4.7
2025-10-01 03:15:00+02:00,7.0,7.0,6.1,6.5,97.0,11.9,89.0,10.2,11.9,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,319.0,0.4,2.2,359.0,1014.7,1014.7,3.28,4.7
2025-10-01 03:20:00+02:00,6.9,6.9,6.1,6.3,96.0,11.8,89.0,10.1,11.8,11.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,319.0,0.0,2.2,327.0,1014.8,1014.8,3.28,4.7
2025-10-01 03:25:00+02:00,6.9,6.9,6.1,6.4,97.0,11.8,89.0,10.1,11.8,11.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,319.0,0.0,2.2,334.0,1014.7,1014.7,3.28,4.7
2025-10-01 03:30:00+02:00,6.9,6.9,6.0,6.3,96.0,11.8,89.0,10.1,11.8,11.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,319.0,0.0,2.9,341.0,1014.7,1014.7,3.28,4.7
2025-10-01 03:35:00+02:00,7.0,7.0,6.1,6.4,96.0,11.7,89.0,10.0,11.7,11.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,319.0,0.0,2.9,353.0,1014.7,1014.7,3.28,4.7
2025-10-01 03:40:00+02:00,7.0,7.0,6.1,6.4,96.0,11.7,89.0,9.9,11.7,11.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,319.0,0.4,2.2,355.0,1014.8,1014.8,3.28,4.7
2025-10-01 03:45:00+02:00,6.9,6.8,5.9,6.3,96.0,11.7,89.0,9.9,11.7,11.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,319.0,0.4,1.8,314.0,1014.7,1014.7,3.28,4.7
2025-10-01 03:50:00+02:00,6.9,6.8,6.0,6.3,96.0,11.7,89.0,9.9,11.7,11.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,319.0,0.0,1.8,333.0,1014.8,1014.8,3.28,4.7
2025-10-01 03:55:00+02:00,6.7,6.7,5.8,6.1,96.0,11.6,89.0,9.8,11.6,11.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,319.0,0.0,0.0,329.0,1014.8,1014.8,3.28,4.7
2025-10-01 04:00:00+02:00,6.6,6.6,5.7,6.0,96.0,11.6,89.0,9.8,11.6,11.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,319.0,0.0,1.8,336.0,1014.9,1014.9,3.28,4.7
2025-10-01 04:05:00+02:00,6.5,6.5,5.6,5.9,96.0,11.6,89.0,9.8,11.6,11.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,319.0,0.0,0.0,304.0,1014.8,1014.8,3.28,4.7
2025-10-01 04:10:00+02:00,6.5,6.5,5.5,5.9,96.0,11.5,89.0,9.8,11.5,11.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,319.0,0.0,0.0,328.0,1014.9,1014.9,3.28,4.7
2025-10-01 04:15:00+02:00,6.4,6.4,5.4,5.8,96.0,11.5,89.0,9.7,11.5,11.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,319.0,0.0,2.2,342.0,1014.8,1014.8,3.28,4.6
2025-10-01 04:20:00+02:00,6.3,6.3,5.4,5.7,96.0,11.5,89.0,9.8,11.5,11.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,319.0,0.0,1.8,326.0,1014.8,1014.8,3.28,4.6
2025-10-01 04:25:00+02:00,6.3,6.3,5.3,5.7,96.0,11.5,89.0,9.8,11.5,11.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,319.0,0.0,0.0,316.0,1014.8,1014.8,3.28,4.6
2025-10-01 04:30:00+02:00,6.2,6.2,5.1,5.6,96.0,11.4,88.0,9.6,11.4,11.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,319.0,0.4,2.5,358.0,1014.8,1014.8,3.28,4.6
2025-10-01 04:35:00+02:00,6.2,6.2,5.1,5.6,96.0,11.4,88.0,9.5,11.4,11.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,319.0,0.8,2.2,334.0,1014.8,1014.8,3.28,4.6
2025-10-01 04:40:00+02:00,6.1,6.1,5.1,5.5,96.0,11.4,88.0,9.5,11.3,11.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,319.0,0.0,2.2,324.0,1014.9,1014.9,3.28,4.6
2025-10-01 04:45:00+02:00,6.1,6.1,5.0,5.5,96.0,11.3,88.0,9.4,11.3,11.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,319.0,0.0,2.2,331.0,1014.9,1014.9,3.28,4.6
2025-10-01 04:50:00+02:00,6.0,6.0,4.9,5.4,96.0,11.3,88.0,9.4,11.3,11.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,319.0,0.0,1.8,348.0,1014.9,1014.9,3.28,4.6
2025-10-01 04:55:00+02:00,5.9,5.9,4.9,5.3,96.0,11.3,88.0,9.4,11.3,11.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,319.0,0.0,1.8,346.0,1014.9,1014.9,3.28,4.6
2025-10-01 05:00:00+02:00,5.8,5.8,4.7,5.2,96.0,11.3,88.0,9.3,11.3,11.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,319.0,0.0,1.8,318.0,1014.8,1014.8,3.28,4.6
2025-10-01 05:05:00+02:00,5.8,5.8,4.7,5.2,96.0,11.2,88.0,9.3,11.2,11.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,319.0,0.0,1.8,345.0,1014.8,1014.8,3.28,4.6
2025-10-01 05:10:00+02:00,5.8,5.8,4.7,5.2,96.0,11.2,88.0,9.3,11.2,11.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,319.0,0.0,1.8,344.0,1014.9,1014.9,3.28,4.6
2025-10-01 05:15:00+02:00,5.8,5.8,4.7,5.4,97.0,11.2,88.0,9.3,11.2,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,319.0,0.0,1.8,347.0,1014.8,1014.8,3.28,4.6
2025-10-01 05:20:00+02:00,5.8,5.8,4.8,5.4,97.0,11.1,88.0,9.2,11.1,10.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,319.0,0.0,1.8,320.0,1014.8,1014.8,3.28,4.6
2025-10-01 05:25:00+02:00,5.8,5.8,4.7,5.3,97.0,11.1,88.0,9.2,11.1,10.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,319.0,0.0,0.0,335.0,1014.8,1014.8,3.28,4.6
2025-10-01 05:30:00+02:00,5.7,5.7,4.5,5.3,97.0,11.1,88.0,9.2,11.1,10.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,319.0,0.4,2.5,346.0,1014.8,1014.8,3.28,4.6
2025-10-01 05:35:00+02:00,5.7,5.7,4.4,5.3,97.0,11.0,88.0,9.1,11.0,10.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,319.0,1.5,3.6,359.0,1014.9,1014.9,3.28,4.6
2025-10-01 05:40:00+02:00,5.7,5.7,4.4,5.3,97.0,11.0,88.0,9.1,11.0,10.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,319.0,0.9,3.2,15.0,1014.9,1014.9,3.28,4.6
2025-10-01 05:45:00+02:00,5.6,5.7,4.5,5.1,96.0,11.0,88.0,9.1,11.0,10.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,319.0,0.0,1.8,90.0,1014.9,1014.9,3.28,4.5
2025-10-01 05:50:00+02:00,5.5,5.5,4.3,4.9,96.0,10.9,88.0,9.0,10.9,10.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,319.0,0.0,0.0,140.0,1014.9,1014.9,3.28,4.5
2025-10-01 05:55:00+02:00,5.3,5.3,4.2,4.8,96.0,10.9,88.0,9.0,10.9,10.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,319.0,0.0,1.8,201.0,1015.0,1015.0,3.28,4.5
2025-10-01 06:00:00+02:00,5.2,5.2,4.0,4.7,96.0,10.9,88.0,9.0,10.9,10.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,319.0,0.0,0.0,25.0,1015.1,1015.1,3.28,4.5
2025-10-01 06:05:00+02:00,5.2,5.2,4.0,4.6,96.0,10.9,88.0,9.0,10.9,10.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,319.0,0.0,2.5,192.0,1015.1,1015.1,3.28,4.5
2025-10-01 06:10:00+02:00,5.0,5.0,3.8,4.4,96.0,10.8,88.0,8.9,10.8,10.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,319.0,0.0,4.3,265.0,1015.2,1015.2,3.28,4.5
2025-10-01 06:15:00+02:00,4.9,4.9,3.4,4.3,96.0,10.8,88.0,8.9,10.8,10.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,319.0,1.2,4.3,273.0,1015.2,1015.2,3.28,4.5
2025-10-01 06:20:00+02:00,4.8,4.8,3.4,4.3,97.0,10.8,88.0,8.9,10.8,10.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,319.0,0.9,4.7,246.0,1015.3,1015.3,3.28,4.5
2025-10-01 06:25:00+02:00,4.9,4.9,3.6,4.5,97.0,10.7,88.0,8.8,10.7,10.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,319.0,0.7,3.6,249.0,1015.3,1015.3,3.28,4.5
2025-10-01 06:30:00+02:00,4.5,4.5,2.9,4.1,97.0,10.7,88.0,8.8,10.7,10.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,319.0,1.4,4.3,196.0,1015.4,1015.4,3.28,4.5
2025-10-01 06:35:00+02:00,4.2,4.2,2.7,3.8,97.0,10.7,88.0,8.8,10.7,10.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,319.0,0.9,3.2,188.0,1015.5,1015.5,3.28,4.5
2025-10-01 06:40:00+02:00,4.4,4.4,2.8,4.0,97.0,10.6,88.0,8.7,10.6,10.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,319.0,1.4,4.7,50.0,1015.4,1015.4,3.28,4.5
2025-10-01 06:45:00+02:00,4.4,4.4,2.7,4.0,97.0,10.6,88.0,8.7,10.6,10.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,319.0,2.3,5.0,4.0,1015.5,1015.5,3.28,4.5
2025-10-01 06:50:00+02:00,4.4,4.4,2.7,3.9,97.0,10.6,88.0,8.7,10.6,10.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,319.0,1.8,5.0,355.0,1015.6,1015.6,3.28,4.5
2025-10-01 06:55:00+02:00,4.4,4.4,2.8,3.9,97.0,10.5,88.0,8.6,10.5,10.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,319.0,1.4,5.8,350.0,1015.6,1015.6,3.28,4.5
2025-10-01 07:00:00+02:00,4.2,4.2,2.6,3.8,97.0,10.5,88.0,8.6,10.5,10.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,319.0,1.0,4.7,305.0,1015.7,1015.7,3.28,4.5
2025-10-01 07:05:00+02:00,4.1,4.1,2.6,3.6,97.0,10.5,88.0,8.6,10.5,10.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,319.0,0.5,3.6,282.0,1015.8,1015.8,3.28,4.4
2025-10-01 07:10:00+02:00,4.2,4.2,2.5,3.7,97.0,10.5,88.0,8.6,10.5,10.1,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,319.0,1.3,6.1,228.0,1015.7,1015.7,3.28,4.4
2025-10-01 07:15:00+02:00,4.5,4.5,3.1,4.1,97.0,10.4,88.0,8.5,10.4,10.1,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,319.0,0.6,5.0,338.0,1015.8,1015.8,3.28,4.4
2025-10-01 07:20:00+02:00,4.7,4.7,3.4,4.2,97.0,10.4,88.0,8.5,10.4,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,319.0,0.0,5.0,313.0,1015.8,1015.8,3.28,4.4
2025-10-01 07:25:00+02:00,4.7,4.7,3.2,4.3,97.0,10.4,88.0,8.5,10.3,10.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,319.0,1.0,4.0,316.0,1015.8,1015.8,3.28,4.4
