datetime,logger_id,name,latitude,longitude,pegel,wtemp,o,do,elL,hkBat,hkTemp,hkHum
2024-08-01 00:00:00,900372,Kaiseraueteich,51.50069,7.22947,80.838,21.859,75.639,6.48,1000,3.704,22.42,31
2024-08-01 00:15:00,900372,Kaiseraueteich,51.50069,7.22947,80.838,21.85,74.823,6.414,1010,3.691,22.33,31
2024-08-01 00:30:00,900372,Kaiseraueteich,51.50069,7.22947,80.838,21.831,72.45,6.214,998,,,
2024-08-01 00:45:00,900372,Kaiseraueteich,51.50069,7.22947,80.838,21.788,70.943,6.089,1003,,,
2024-08-01 01:00:00,900372,Kaiseraueteich,51.50069,7.22947,80.839,21.713,73.824,6.343,993,3.71,21.88,30.9
2024-08-01 01:15:00,900372,Kaiseraueteich,51.50069,7.22947,80.839,21.663,71.587,6.159,998,3.679,21.81,30.9
2024-08-01 01:30:00,900372,Kaiseraueteich,51.50069,7.22947,80.838,21.678,73.427,6.319,1000,,,
2024-08-01 01:45:00,900372,Kaiseraueteich,51.50069,7.22947,80.838,21.606,71.13,6.126,999,,,
2024-08-01 02:00:00,900372,Kaiseraueteich,51.50069,7.22947,80.838,21.575,69.4,5.982,1001,3.709,21.45,30.9
2024-08-01 02:15:01,900372,Kaiseraueteich,51.50069,7.22947,80.839,21.581,69.829,6.019,993,3.684,21.38,30.8
2024-08-01 02:30:01,900372,Kaiseraueteich,51.50069,7.22947,80.839,21.556,66.262,5.718,1004,,,
2024-08-01 02:45:01,900372,Kaiseraueteich,51.50069,7.22947,80.839,21.506,68.496,5.916,1002,,,
2024-08-01 03:00:00,900372,Kaiseraueteich,51.50069,7.22947,80.839,21.453,63.836,5.518,1003,3.708,21.1,30.8
2024-08-01 03:15:00,900372,Kaiseraueteich,51.50069,7.22947,80.839,21.472,65.942,5.701,999,3.683,21.1,30.8
2024-08-01 03:30:00,900372,Kaiseraueteich,51.50069,7.22947,80.839,21.391,56.206,4.863,998,,,
2024-08-01 03:45:00,900372,Kaiseraueteich,51.50069,7.22947,80.838,21.381,56.039,4.851,997,,,
2024-08-01 04:00:00,900372,Kaiseraueteich,51.50069,7.22947,80.839,21.375,51.578,4.469,1003,3.704,20.92,30.8
2024-08-01 04:15:00,900372,Kaiseraueteich,51.50069,7.22947,80.839,21.306,60.803,5.273,997,3.68,20.92,30.7
2024-08-01 04:30:00,900372,Kaiseraueteich,51.50069,7.22947,80.839,21.278,57.212,4.965,1003,,,
2024-08-01 04:45:00,900372,Kaiseraueteich,51.50069,7.22947,80.839,21.231,55.778,4.844,1005,,,
2024-08-01 05:00:00,900372,Kaiseraueteich,51.50069,7.22947,80.839,21.209,52.156,4.533,1000,3.707,20.73,30.8
2024-08-01 05:15:00,900372,Kaiseraueteich,51.50069,7.22947,80.84,21.197,51.959,4.52,1002,3.683,20.75,30.7
2024-08-01 05:30:00,900372,Kaiseraueteich,51.50069,7.22947,80.839,21.166,49.401,4.298,1007,,,
2024-08-01 05:45:00,900372,Kaiseraueteich,51.50069,7.22947,80.839,21.122,51.059,4.444,1008,,,
2024-08-01 06:00:00,900372,Kaiseraueteich,51.50069,7.22947,80.839,21.178,55.589,4.837,999,3.704,20.65,30.8
2024-08-01 06:15:01,900372,Kaiseraueteich,51.50069,7.22947,80.84,21.181,60.994,5.306,1008,3.683,20.73,30.7
2024-08-01 06:30:01,900372,Kaiseraueteich,51.50069,7.22947,80.841,21.153,62.039,5.4,1006,,,
2024-08-01 06:45:01,900372,Kaiseraueteich,51.50069,7.22947,80.84,21.125,58.56,5.099,1001,,,
2024-08-01 07:00:00,900372,Kaiseraueteich,51.50069,7.22947,80.84,21.159,56.099,4.883,998,3.704,20.89,30.8
2024-08-01 07:15:00,900372,Kaiseraueteich,51.50069,7.22947,80.839,21.153,55.706,4.849,1002,3.683,21.08,30.8
2024-08-01 07:30:00,900372,Kaiseraueteich,51.50069,7.22947,80.839,21.175,60.796,5.29,1000,,,
2024-08-01 07:45:00,900372,Kaiseraueteich,51.50069,7.22947,80.84,21.178,69.885,6.08,997,,,
2024-08-01 08:00:00,900372,Kaiseraueteich,51.50069,7.22947,80.841,21.156,56.775,4.94,1005,3.704,21.63,30.9
2024-08-01 08:15:00,900372,Kaiseraueteich,51.50069,7.22947,80.841,21.175,55.87,4.862,995,3.68,21.94,30.9
2024-08-01 08:30:00,900372,Kaiseraueteich,51.50069,7.22947,80.84,21.184,61.778,5.375,998,,,
2024-08-01 08:45:00,900372,Kaiseraueteich,51.50069,7.22947,80.841,21.188,70.006,6.085,1004,,,
2024-08-01 09:00:00,900372,Kaiseraueteich,51.50069,7.22947,80.84,21.291,75.762,6.577,999,3.704,22.6,31
2024-08-01 09:15:01,900372,Kaiseraueteich,51.50069,7.22947,80.84,21.313,79.205,6.868,1004,3.683,22.88,31
2024-08-01 09:30:01,900372,Kaiseraueteich,51.50069,7.22947,80.84,21.353,71.852,6.227,1005,,,
2024-08-01 09:45:01,900372,Kaiseraueteich,51.50069,7.22947,80.84,21.388,75.894,6.567,1004,,,
2024-08-01 10:00:00,900372,Kaiseraueteich,51.50069,7.22947,80.84,21.397,69.104,5.979,1007,3.707,23.56,31.1
2024-08-01 10:15:00,900372,Kaiseraueteich,51.50069,7.22947,80.84,21.425,56.002,4.846,997,3.684,23.84,31.1
2024-08-01 10:30:00,900372,Kaiseraueteich,51.50069,7.22947,80.841,21.438,50.051,4.329,1003,,,
2024-08-01 10:45:00,900372,Kaiseraueteich,51.50069,7.22947,80.841,21.438,56.577,4.892,1004,,,
