datetime,logger_id,name,latitude,longitude,pegel,wtemp,o,do,elL,hkBat,hkTemp,hkHum,year_month
2025-06-01 00:00:00,900358,Hiltrop Volkspark,51.52259,7.26221,96.57,13.734,0.0,0.0,783,3.674,20.69,5.7,2025-06
2025-06-01 00:00:00,900358,Hiltrop Volkspark,51.52259,7.26221,96.57,13.734,0.0,0.0,783,3.674,20.69,5.7,2025-06
2025-06-01 00:15:00,900358,Hiltrop Volkspark,51.52259,7.26221,96.57,13.681,0.0,0.0,780,3.659,20.61,5.6,2025-06
2025-06-01 00:30:00,900358,Hiltrop Volkspark,51.52259,7.26221,96.57,13.703,0.0,0.0,780,,,,2025-06
2025-06-01 00:45:00,900358,Hiltrop Volkspark,51.52259,7.26221,96.57,13.675,0.0,0.0,784,,,,2025-06
2025-06-01 01:00:00,900358,Hiltrop Volkspark,51.52259,7.26221,96.57,13.681,0.0,0.0,782,3.677,20.21,5.6,2025-06
2025-06-01 01:15:01,900358,Hiltrop Volkspark,51.52259,7.26221,96.57,13.631,0.0,0.0,775,3.652,20.15,5.6,2025-06
2025-06-01 01:30:01,900358,Hiltrop Volkspark,51.52259,7.26221,96.57,13.65,0.0,0.0,779,,,,2025-06
2025-06-01 01:45:01,900358,Hiltrop Volkspark,51.52259,7.26221,96.57,13.688,0.0,0.0,779,,,,2025-06
2025-06-01 02:00:00,900358,Hiltrop Volkspark,51.52259,7.26221,96.57,13.7,0.0,0.0,779,3.68,19.8,5.6,2025-06
2025-06-01 02:15:00,900358,Hiltrop Volkspark,51.52259,7.26221,96.57,13.738,0.0,0.0,779,3.646,19.77,5.6,2025-06
2025-06-01 02:30:00,900358,Hiltrop Volkspark,51.52259,7.26221,96.57,13.731,0.0,0.0,780,,,,2025-06
2025-06-01 02:45:00,900358,Hiltrop Volkspark,51.52259,7.26221,96.57,13.713,0.0,0.0,782,,,,2025-06
2025-06-01 03:00:00,900358,Hiltrop Volkspark,51.52259,7.26221,96.57,13.731,0.0,0.0,779,3.669,19.48,5.6,2025-06
2025-06-01 03:15:01,900358,Hiltrop Volkspark,51.52259,7.26221,96.57,13.738,0.0,0.0,779,3.649,19.47,5.6,2025-06
2025-06-01 03:30:01,900358,Hiltrop Volkspark,51.52259,7.26221,96.57,13.734,0.0,0.0,780,,,,2025-06
2025-06-01 03:45:01,900358,Hiltrop Volkspark,51.52259,7.26221,96.57,13.828,0.0,0.0,777,,,,2025-06
2025-06-01 04:00:00,900358,Hiltrop Volkspark,51.52259,7.26221,96.57,13.731,0.0,0.0,779,3.668,19.38,5.6,2025-06
2025-06-01 04:15:00,900358,Hiltrop Volkspark,51.52259,7.26221,96.57,13.766,0.0,0.0,780,3.651,19.42,5.6,2025-06
2025-06-01 04:30:00,900358,Hiltrop Volkspark,51.52259,7.26221,96.57,13.753,0.0,0.0,781,,,,2025-06
2025-06-01 04:45:00,900358,Hiltrop Volkspark,51.52259,7.26221,96.57,13.778,0.0,0.0,780,,,,2025-06
2025-06-01 05:00:00,900358,Hiltrop Volkspark,51.52259,7.26221,96.569,13.803,0.0,0.0,779,3.668,19.38,5.6,2025-06
2025-06-01 05:15:00,900358,Hiltrop Volkspark,51.52259,7.26221,96.57,13.75,0.0,0.0,777,3.651,19.59,5.6,2025-06
2025-06-01 05:30:00,900358,Hiltrop Volkspark,51.52259,7.26221,96.57,13.775,0.0,0.0,779,,,,2025-06
2025-06-01 05:45:00,900358,Hiltrop Volkspark,51.52259,7.26221,96.569,13.791,0.0,0.0,779,,,,2025-06
2025-06-01 06:00:00,900358,Hiltrop Volkspark,51.52259,7.26221,96.57,13.813,0.0,0.0,776,3.674,19.99,5.6,2025-06
2025-06-01 06:15:00,900358,Hiltrop Volkspark,51.52259,7.26221,96.57,13.759,0.0,0.0,780,3.645,20.1,5.6,2025-06
2025-06-01 06:30:00,900358,Hiltrop Volkspark,51.52259,7.26221,96.57,13.788,0.0,0.0,778,,,,2025-06
2025-06-01 06:45:00,900358,Hiltrop Volkspark,51.52259,7.26221,96.569,13.788,0.0,0.0,780,,,,2025-06
2025-06-01 07:00:00,900358,Hiltrop Volkspark,51.52259,7.26221,96.57,13.834,0.0,0.0,778,3.674,20.53,5.7,2025-06
2025-06-01 07:15:01,900358,Hiltrop Volkspark,51.52259,7.26221,96.569,13.759,0.0,0.0,775,3.647,20.79,5.7,2025-06
2025-06-01 07:30:01,900358,Hiltrop Volkspark,51.52259,7.26221,96.57,13.781,0.0,0.0,778,,,,2025-06
2025-06-01 07:45:01,900358,Hiltrop Volkspark,51.52259,7.26221,96.569,13.788,0.0,0.0,779,,,,2025-06
2025-06-01 08:00:00,900358,Hiltrop Volkspark,51.52259,7.26221,96.569,13.794,0.0,0.0,777,3.68,22.01,5.7,2025-06
2025-06-01 08:15:01,900358,Hiltrop Volkspark,51.52259,7.26221,96.569,13.759,0.0,0.0,776,3.654,22.63,5.7,2025-06
2025-06-01 08:30:01,900358,Hiltrop Volkspark,51.52259,7.26221,96.569,13.825,0.0,0.0,780,,,,2025-06
2025-06-01 08:45:01,900358,Hiltrop Volkspark,51.52259,7.26221,96.569,13.772,0.0,0.0,777,,,,2025-06
2025-06-01 09:00:00,900358,Hiltrop Volkspark,51.52259,7.26221,96.569,13.828,0.0,0.0,775,3.685,24.0,5.7,2025-06
2025-06-01 09:15:01,900358,Hiltrop Volkspark,51.52259,7.26221,96.569,13.797,0.0,0.0,776,3.655,25.02,5.8,2025-06
2025-06-01 09:30:01,900358,Hiltrop Volkspark,51.52259,7.26221,96.569,13.781,0.0,0.0,773,,,,2025-06
2025-06-01 09:45:01,900358,Hiltrop Volkspark,51.52259,7.26221,96.568,13.841,0.0,0.0,776,,,,2025-06
2025-06-01 10:00:00,900358,Hiltrop Volkspark,51.52259,7.26221,96.569,13.794,0.0,0.0,776,3.68,24.59,5.8,2025-06
2025-06-01 10:15:00,900358,Hiltrop Volkspark,51.52259,7.26221,96.569,13.794,0.0,0.0,780,3.662,25.0,5.8,2025-06
2025-06-01 10:30:00,900358,Hiltrop Volkspark,51.52259,7.26221,96.569,13.766,0.0,0.0,778,,,,2025-06
2025-06-01 10:45:00,900358,Hiltrop Volkspark,51.52259,7.26221,96.569,13.794,0.0,0.0,778,,,,2025-06
2025-06-01 11:00:00,900358,Hiltrop Volkspark,51.52259,7.26221,96.567,13.8,0.0,0.0,768,3.68,26.6,5.8,2025-06
2025-06-01 11:15:00,900358,Hiltrop Volkspark,51.52259,7.26221,96.569,13.838,0.0,0.0,771,3.669,27.17,5.9,2025-06
2025-06-01 11:30:00,900358,Hiltrop Volkspark,51.52259,7.26221,96.568,13.788,0.0,0.0,777,,,,2025-06
2025-06-01 11:45:00,900358,Hiltrop Volkspark,51.52259,7.26221,96.569,13.778,0.0,0.0,772,,,,2025-06
2025-06-01 12:00:00,900358,Hiltrop Volkspark,51.52259,7.26221,96.569,13.772,0.0,0.0,773,3.692,28.3,5.9,2025-06
2025-06-01 12:15:01,900358,Hiltrop Volkspark,51.52259,7.26221,96.569,13.809,0.0,0.0,765,3.67,28.56,5.9,2025-06
2025-06-01 12:30:01,900358,Hiltrop Volkspark,51.52259,7.26221,96.569,13.775,0.0,0.0,762,,,,2025-06
2025-06-01 12:45:01,900358,Hiltrop Volkspark,51.52259,7.26221,96.57,13.825,0.0,0.0,792,,,,2025-06
2025-06-01 13:00:00,900358,Hiltrop Volkspark,51.52259,7.26221,96.57,13.816,0.0,0.0,767,3.686,28.51,5.9,2025-06
2025-06-01 13:15:01,900358,Hiltrop Volkspark,51.52259,7.26221,96.57,13.856,0.0,0.0,781,3.669,28.45,6.0,2025-06
2025-06-01 13:30:01,900358,Hiltrop Volkspark,51.52259,7.26221,96.569,13.834,0.0,0.0,771,,,,2025-06
2025-06-01 13:45:01,900358,Hiltrop Volkspark,51.52259,7.26221,96.568,13.853,0.0,0.0,771,,,,2025-06
2025-06-01 14:00:00,900358,Hiltrop Volkspark,51.52259,7.26221,96.569,13.853,0.0,0.0,775,3.692,28.13,6.0,2025-06
2025-06-01 14:15:01,900358,Hiltrop Volkspark,51.52259,7.26221,96.569,13.844,0.0,0.0,779,3.67,28.57,6.0,2025-06
2025-06-01 14:30:01,900358,Hiltrop Volkspark,51.52259,7.26221,96.568,13.834,0.0,0.0,779,,,,2025-06
2025-06-01 14:45:01,900358,Hiltrop Volkspark,51.52259,7.26221,96.569,13.838,0.0,0.0,782,,,,2025-06
2025-06-01 15:00:00,900358,Hiltrop Volkspark,51.52259,7.26221,96.568,13.859,0.0,0.0,781,3.687,28.66,6.0,2025-06
2025-06-01 15:15:01,900358,Hiltrop Volkspark,51.52259,7.26221,96.568,13.847,0.0,0.0,783,3.672,28.72,6.0,2025-06
2025-06-01 15:30:01,900358,Hiltrop Volkspark,51.52259,7.26221,96.568,13.859,0.0,0.0,780,,,,2025-06
2025-06-01 15:45:01,900358,Hiltrop Volkspark,51.52259,7.26221,96.567,13.872,0.0,0.0,785,,,,2025-06
2025-06-01 16:00:00,900358,Hiltrop Volkspark,51.52259,7.26221,96.567,13.825,0.0,0.0,781,3.695,27.67,6.0,2025-06
2025-06-01 16:15:00,900358,Hiltrop Volkspark,51.52259,7.26221,96.567,13.859,0.0,0.0,783,3.676,27.33,5.9,2025-06
2025-06-01 16:30:00,900358,Hiltrop Volkspark,51.52259,7.26221,96.567,13.85,0.0,0.0,781,,,,2025-06
2025-06-01 16:45:00,900358,Hiltrop Volkspark,51.52259,7.26221,96.568,13.859,0.0,0.0,781,,,,2025-06
2025-06-01 17:00:00,900358,Hiltrop Volkspark,51.52259,7.26221,96.567,13.859,0.0,0.0,785,3.679,26.39,5.9,2025-06
2025-06-01 17:15:00,900358,Hiltrop Volkspark,51.52259,7.26221,96.569,13.897,0.0,0.0,777,3.675,26.26,5.9,2025-06
2025-06-01 17:30:00,900358,Hiltrop Volkspark,51.52259,7.26221,96.567,13.884,0.0,0.0,776,,,,2025-06
2025-06-01 17:45:00,900358,Hiltrop Volkspark,51.52259,7.26221,96.567,13.884,0.0,0.0,778,,,,2025-06
2025-06-01 18:00:00,900358,Hiltrop Volkspark,51.52259,7.26221,96.567,13.925,0.0,0.0,776,3.684,25.47,5.9,2025-06
2025-06-01 18:15:01,900358,Hiltrop Volkspark,51.52259,7.26221,96.567,13.9,0.0,0.0,776,3.671,25.23,5.9,2025-06
2025-06-01 18:30:01,900358,Hiltrop Volkspark,51.52259,7.26221,96.567,13.919,0.0,0.0,778,,,,2025-06
2025-06-01 18:45:01,900358,Hiltrop Volkspark,51.52259,7.26221,96.567,13.941,0.0,0.0,776,,,,2025-06
2025-06-01 19:00:00,900358,Hiltrop Volkspark,51.52259,7.26221,96.567,13.913,0.0,0.0,776,3.679,24.3,5.8,2025-06
2025-06-01 19:15:00,900358,Hiltrop Volkspark,51.52259,7.26221,96.567,13.95,0.0,0.0,775,3.658,24.01,5.8,2025-06
2025-06-01 19:30:00,900358,Hiltrop Volkspark,51.52259,7.26221,96.567,13.941,0.0,0.0,763,,,,2025-06
2025-06-01 19:45:00,900358,Hiltrop Volkspark,51.52259,7.26221,96.567,13.928,0.0,0.0,774,,,,2025-06
2025-06-01 20:00:00,900358,Hiltrop Volkspark,51.52259,7.26221,96.567,13.95,0.0,0.0,764,3.679,22.98,5.8,2025-06
2025-06-01 20:15:01,900358,Hiltrop Volkspark,51.52259,7.26221,96.567,13.984,0.0,0.0,772,3.662,22.65,5.7,2025-06
2025-06-01 20:30:01,900358,Hiltrop Volkspark,51.52259,7.26221,96.567,13.966,0.0,0.0,766,,,,2025-06
2025-06-01 20:45:01,900358,Hiltrop Volkspark,51.52259,7.26221,96.566,13.941,0.0,0.0,770,,,,2025-06
2025-06-01 21:00:00,900358,Hiltrop Volkspark,51.52259,7.26221,96.567,13.972,0.0,0.0,769,3.673,21.56,5.8,2025-06
2025-06-01 21:15:00,900358,Hiltrop Volkspark,51.52259,7.26221,96.567,13.984,0.0,0.0,770,3.654,21.27,5.7,2025-06
2025-06-01 21:30:00,900358,Hiltrop Volkspark,51.52259,7.26221,96.567,13.944,0.0,0.0,767,,,,2025-06
2025-06-01 21:45:00,900358,Hiltrop Volkspark,51.52259,7.26221,96.567,13.947,0.0,0.0,764,,,,2025-06
2025-06-01 22:00:00,900358,Hiltrop Volkspark,51.52259,7.26221,96.566,13.972,0.0,0.0,769,3.67,20.18,5.7,2025-06
2025-06-01 22:15:00,900358,Hiltrop Volkspark,51.52259,7.26221,96.566,13.959,0.0,0.0,769,3.656,19.95,5.7,2025-06
2025-06-01 22:30:00,900358,Hiltrop Volkspark,51.52259,7.26221,96.567,13.978,0.0,0.0,775,,,,2025-06
2025-06-01 22:45:00,900358,Hiltrop Volkspark,51.52259,7.26221,96.567,14.003,0.0,0.0,769,,,,2025-06
2025-06-01 23:00:00,900358,Hiltrop Volkspark,51.52259,7.26221,96.567,13.966,0.0,0.0,769,3.669,19.17,5.7,2025-06
2025-06-01 23:15:00,900358,Hiltrop Volkspark,51.52259,7.26221,96.566,13.988,0.0,0.0,775,3.657,19.04,5.7,2025-06
2025-06-01 23:30:00,900358,Hiltrop Volkspark,51.52259,7.26221,96.566,13.981,0.0,0.0,774,,,,2025-06
2025-06-01 23:45:00,900358,Hiltrop Volkspark,51.52259,7.26221,96.566,14.006,0.0,0.0,777,,,,2025-06
2025-06-02 00:00:00,900358,Hiltrop Volkspark,51.52259,7.26221,96.566,14.028,0.0,0.0,779,3.666,18.48,5.7,2025-06
2025-06-02 00:00:00,900358,Hiltrop Volkspark,51.52259,7.26221,96.566,14.028,0.0,0.0,779,3.666,18.48,5.7,2025-06
2025-06-02 00:15:00,900358,Hiltrop Volkspark,51.52259,7.26221,96.567,14.006,0.0,0.0,778,3.649,18.37,5.7,2025-06
2025-06-02 00:30:00,900358,Hiltrop Volkspark,51.52259,7.26221,96.567,13.988,0.0,0.0,772,,,,2025-06
2025-06-02 00:45:00,900358,Hiltrop Volkspark,51.52259,7.26221,96.566,14.05,0.0,0.0,776,,,,2025-06
2025-06-02 01:00:00,900358,Hiltrop Volkspark,51.52259,7.26221,96.566,14.0,0.0,0.0,777,3.667,17.9,5.7,2025-06
2025-06-02 01:15:00,900358,Hiltrop Volkspark,51.52259,7.26221,96.566,14.006,0.0,0.0,775,3.652,17.81,5.7,2025-06
2025-06-02 01:30:00,900358,Hiltrop Volkspark,51.52259,7.26221,96.566,14.025,0.0,0.0,776,,,,2025-06
2025-06-02 01:45:00,900358,Hiltrop Volkspark,51.52259,7.26221,96.567,14.019,0.0,0.0,765,,,,2025-06
2025-06-02 02:00:00,900358,Hiltrop Volkspark,51.52259,7.26221,96.566,13.994,0.0,0.0,774,3.662,17.48,5.7,2025-06
2025-06-02 02:15:00,900358,Hiltrop Volkspark,51.52259,7.26221,96.566,14.044,0.0,0.0,773,3.65,17.55,5.7,2025-06
2025-06-02 02:30:00,900358,Hiltrop Volkspark,51.52259,7.26221,96.567,14.028,0.0,0.0,775,,,,2025-06
2025-06-02 02:45:00,900358,Hiltrop Volkspark,51.52259,7.26221,96.566,14.025,0.0,0.0,776,,,,2025-06
2025-06-02 03:00:00,900358,Hiltrop Volkspark,51.52259,7.26221,96.566,14.003,0.0,0.0,777,3.666,17.4,5.7,2025-06
2025-06-02 03:15:00,900358,Hiltrop Volkspark,51.52259,7.26221,96.566,14.006,0.0,0.0,775,3.652,17.36,5.7,2025-06
2025-06-02 03:30:00,900358,Hiltrop Volkspark,51.52259,7.26221,96.566,14.059,0.0,0.0,777,,,,2025-06
2025-06-02 03:45:00,900358,Hiltrop Volkspark,51.52259,7.26221,96.566,14.022,0.0,0.0,769,,,,2025-06
2025-06-02 04:00:00,900358,Hiltrop Volkspark,51.52259,7.26221,96.567,14.044,0.0,0.0,780,3.669,16.79,5.7,2025-06
2025-06-02 04:15:00,900358,Hiltrop Volkspark,51.52259,7.26221,96.566,14.003,0.0,0.0,773,3.648,16.67,5.7,2025-06
2025-06-02 04:30:00,900358,Hiltrop Volkspark,51.52259,7.26221,96.566,14.044,0.0,0.0,763,,,,2025-06
2025-06-02 04:45:00,900358,Hiltrop Volkspark,51.52259,7.26221,96.567,14.05,0.0,0.0,773,,,,2025-06
2025-06-02 05:00:00,900358,Hiltrop Volkspark,51.52259,7.26221,96.566,14.016,0.0,0.0,774,3.664,16.23,5.7,2025-06
2025-06-02 05:15:00,900358,Hiltrop Volkspark,51.52259,7.26221,96.566,14.081,0.0,0.0,763,3.642,16.23,5.7,2025-06
2025-06-02 05:30:00,900358,Hiltrop Volkspark,51.52259,7.26221,96.567,14.013,0.0,0.0,770,,,,2025-06
2025-06-02 05:45:00,900358,Hiltrop Volkspark,51.52259,7.26221,96.567,14.031,0.0,0.0,772,,,,2025-06
2025-06-02 06:00:00,900358,Hiltrop Volkspark,51.52259,7.26221,96.567,14.025,0.0,0.0,775,3.661,16.36,5.7,2025-06
2025-06-02 06:15:00,900358,Hiltrop Volkspark,51.52259,7.26221,96.566,14.034,0.0,0.0,771,3.654,16.54,5.7,2025-06
2025-06-02 06:30:00,900358,Hiltrop Volkspark,51.52259,7.26221,96.566,14.056,0.0,0.0,765,,,,2025-06
2025-06-02 06:45:00,900358,Hiltrop Volkspark,51.52259,7.26221,96.566,14.091,0.0,0.0,768,,,,2025-06
2025-06-02 07:00:00,900358,Hiltrop Volkspark,51.52259,7.26221,96.566,14.056,0.0,0.0,767,3.659,17.05,5.6,2025-06
2025-06-02 07:15:01,900358,Hiltrop Volkspark,51.52259,7.26221,96.566,14.047,0.0,0.0,768,3.647,17.39,5.7,2025-06
2025-06-02 07:30:01,900358,Hiltrop Volkspark,51.52259,7.26221,96.566,14.072,0.0,0.0,778,,,,2025-06
2025-06-02 07:45:01,900358,Hiltrop Volkspark,51.52259,7.26221,96.567,14.053,0.0,0.0,778,,,,2025-06
2025-06-02 08:00:00,900358,Hiltrop Volkspark,51.52259,7.26221,96.566,14.063,0.0,0.0,778,3.671,18.25,5.7,2025-06
2025-06-02 08:15:00,900358,Hiltrop Volkspark,51.52259,7.26221,96.566,14.091,0.0,0.0,778,3.644,19.21,5.7,2025-06
2025-06-02 08:30:00,900358,Hiltrop Volkspark,51.52259,7.26221,96.566,14.072,0.0,0.0,776,,,,2025-06
2025-06-02 08:45:00,900358,Hiltrop Volkspark,51.52259,7.26221,96.566,14.103,0.0,0.0,779,,,,2025-06
2025-06-02 09:00:00,900358,Hiltrop Volkspark,51.52259,7.26221,96.566,14.059,0.0,0.0,779,3.68,25.19,5.8,2025-06
2025-06-02 09:15:00,900358,Hiltrop Volkspark,51.52259,7.26221,96.567,14.084,0.0,0.0,778,3.649,26.48,5.9,2025-06
2025-06-02 09:30:00,900358,Hiltrop Volkspark,51.52259,7.26221,96.566,14.106,0.0,0.0,779,,,,2025-06
2025-06-02 09:45:00,900358,Hiltrop Volkspark,51.52259,7.26221,96.566,14.119,0.0,0.0,781,,,,2025-06
2025-06-02 10:00:00,900358,Hiltrop Volkspark,51.52259,7.26221,96.566,14.072,0.0,0.0,778,3.684,27.88,6.0,2025-06
2025-06-02 10:15:01,900358,Hiltrop Volkspark,51.52259,7.26221,96.566,14.081,0.0,0.0,781,3.665,28.7,6.0,2025-06
2025-06-02 10:30:01,900358,Hiltrop Volkspark,51.52259,7.26221,96.566,14.063,0.0,0.0,785,,,,2025-06
2025-06-02 10:45:01,900358,Hiltrop Volkspark,51.52259,7.26221,96.566,14.122,0.0,0.0,785,,,,2025-06
2025-06-02 11:00:00,900358,Hiltrop Volkspark,51.52259,7.26221,96.566,14.091,0.0,0.0,777,3.688,29.29,6.1,2025-06
2025-06-02 11:15:00,900358,Hiltrop Volkspark,51.52259,7.26221,96.566,14.072,0.0,0.0,783,3.672,29.73,6.1,2025-06
2025-06-02 11:30:00,900358,Hiltrop Volkspark,51.52259,7.26221,96.567,14.066,0.0,0.0,779,,,,2025-06
2025-06-02 11:45:00,900358,Hiltrop Volkspark,51.52259,7.26221,96.566,14.084,0.0,0.0,780,,,,2025-06
2025-06-02 12:00:00,900358,Hiltrop Volkspark,51.52259,7.26221,96.567,14.072,0.0,0.0,782,3.697,29.97,6.1,2025-06
2025-06-02 12:15:01,900358,Hiltrop Volkspark,51.52259,7.26221,96.567,14.128,0.0,0.0,783,3.681,29.44,6.1,2025-06
2025-06-02 12:30:01,900358,Hiltrop Volkspark,51.52259,7.26221,96.567,14.147,0.0,0.0,782,,,,2025-06
2025-06-02 12:45:01,900358,Hiltrop Volkspark,51.52259,7.26221,96.566,14.109,0.0,0.0,782,,,,2025-06
2025-06-02 13:00:00,900358,Hiltrop Volkspark,51.52259,7.26221,96.565,14.103,0.0,0.0,780,3.689,28.56,6.1,2025-06
2025-06-02 13:15:00,900358,Hiltrop Volkspark,51.52259,7.26221,96.566,14.091,0.0,0.0,779,3.672,28.32,6.1,2025-06
2025-06-02 13:30:00,900358,Hiltrop Volkspark,51.52259,7.26221,96.566,14.106,0.0,0.0,781,,,,2025-06
2025-06-02 13:45:00,900358,Hiltrop Volkspark,51.52259,7.26221,96.566,14.122,0.0,0.0,780,,,,2025-06
2025-06-02 14:00:00,900358,Hiltrop Volkspark,51.52259,7.26221,96.565,14.122,0.0,0.0,783,3.692,28.97,6.0,2025-06
2025-06-02 14:15:00,900358,Hiltrop Volkspark,51.52259,7.26221,96.566,14.159,0.0,0.0,783,3.675,29.69,6.1,2025-06
2025-06-02 14:30:00,900358,Hiltrop Volkspark,51.52259,7.26221,96.566,14.159,0.0,0.0,778,,,,2025-06
2025-06-02 14:45:00,900358,Hiltrop Volkspark,51.52259,7.26221,96.566,14.169,0.0,0.0,780,,,,2025-06
2025-06-02 15:00:00,900358,Hiltrop Volkspark,51.52259,7.26221,96.566,14.169,0.0,0.0,780,3.692,28.15,6.1,2025-06
2025-06-02 15:15:00,900358,Hiltrop Volkspark,51.52259,7.26221,96.566,14.15,0.0,0.0,781,3.663,27.34,6.0,2025-06
2025-06-02 15:30:00,900358,Hiltrop Volkspark,51.52259,7.26221,96.565,14.172,0.0,0.0,783,,,,2025-06
2025-06-02 15:45:00,900358,Hiltrop Volkspark,51.52259,7.26221,96.565,14.175,0.0,0.0,782,,,,2025-06
2025-06-02 16:00:00,900358,Hiltrop Volkspark,51.52259,7.26221,96.565,14.191,0.0,0.0,781,3.685,25.96,6.0,2025-06
2025-06-02 16:15:00,900358,Hiltrop Volkspark,51.52259,7.26221,96.565,14.194,0.0,0.0,784,3.66,25.79,6.0,2025-06
2025-06-02 16:30:00,900358,Hiltrop Volkspark,51.52259,7.26221,96.565,14.178,0.0,0.0,779,,,,2025-06
2025-06-02 16:45:00,900358,Hiltrop Volkspark,51.52259,7.26221,96.565,14.181,0.0,0.0,779,,,,2025-06
2025-06-02 17:00:00,900358,Hiltrop Volkspark,51.52259,7.26221,96.565,14.178,0.0,0.0,783,3.678,25.17,6.0,2025-06
2025-06-02 17:15:00,900358,Hiltrop Volkspark,51.52259,7.26221,96.565,14.175,0.0,0.0,782,3.658,24.99,5.9,2025-06
2025-06-02 17:30:00,900358,Hiltrop Volkspark,51.52259,7.26221,96.565,14.219,0.0,0.0,782,,,,2025-06
2025-06-02 17:45:00,900358,Hiltrop Volkspark,51.52259,7.26221,96.566,14.25,0.0,0.0,784,,,,2025-06
2025-06-02 18:00:00,900358,Hiltrop Volkspark,51.52259,7.26221,96.565,14.269,0.0,0.0,785,3.681,24.26,5.9,2025-06
2025-06-02 18:15:00,900358,Hiltrop Volkspark,51.52259,7.26221,96.565,14.228,0.0,0.0,782,3.662,24.05,5.9,2025-06
2025-06-02 18:30:00,900358,Hiltrop Volkspark,51.52259,7.26221,96.565,14.231,0.0,0.0,784,,,,2025-06
2025-06-02 18:45:00,900358,Hiltrop Volkspark,51.52259,7.26221,96.566,14.225,0.0,0.0,783,,,,2025-06
2025-06-02 19:00:00,900358,Hiltrop Volkspark,51.52259,7.26221,96.565,14.219,0.0,0.0,780,3.68,23.2,5.9,2025-06
2025-06-02 19:15:00,900358,Hiltrop Volkspark,51.52259,7.26221,96.565,14.266,0.0,0.0,783,3.666,22.94,5.9,2025-06
2025-06-02 19:30:00,900358,Hiltrop Volkspark,51.52259,7.26221,96.565,14.256,0.0,0.0,778,,,,2025-06
2025-06-02 19:45:00,900358,Hiltrop Volkspark,51.52259,7.26221,96.565,14.275,0.0,0.0,783,,,,2025-06
2025-06-02 20:00:00,900358,Hiltrop Volkspark,51.52259,7.26221,96.565,14.288,0.0,0.0,780,3.677,21.9,5.8,2025-06
2025-06-02 20:15:01,900358,Hiltrop Volkspark,51.52259,7.26221,96.565,14.284,0.0,0.0,781,3.656,21.51,5.8,2025-06
2025-06-02 20:30:01,900358,Hiltrop Volkspark,51.52259,7.26221,96.565,14.275,0.0,0.0,778,,,,2025-06
2025-06-02 20:45:01,900358,Hiltrop Volkspark,51.52259,7.26221,96.565,14.306,0.0,0.0,783,,,,2025-06
2025-06-02 21:00:00,900358,Hiltrop Volkspark,51.52259,7.26221,96.565,14.269,0.0,0.0,779,3.678,20.0,5.8,2025-06
2025-06-02 21:15:01,900358,Hiltrop Volkspark,51.52259,7.26221,96.565,14.291,0.0,0.0,781,3.652,19.61,5.8,2025-06
2025-06-02 21:30:01,900358,Hiltrop Volkspark,51.52259,7.26221,96.564,14.306,0.0,0.0,777,,,,2025-06
2025-06-02 21:45:01,900358,Hiltrop Volkspark,51.52259,7.26221,96.565,14.331,0.0,0.0,779,,,,2025-06
2025-06-02 22:00:00,900358,Hiltrop Volkspark,51.52259,7.26221,96.565,14.313,0.0,0.0,780,3.677,18.33,5.8,2025-06
2025-06-02 22:15:01,900358,Hiltrop Volkspark,51.52259,7.26221,96.564,14.316,0.0,0.0,780,3.649,18.05,5.7,2025-06
2025-06-02 22:30:01,900358,Hiltrop Volkspark,51.52259,7.26221,96.565,14.313,0.0,0.0,782,,,,2025-06
2025-06-02 22:45:01,900358,Hiltrop Volkspark,51.52259,7.26221,96.565,14.309,0.0,0.0,783,,,,2025-06
2025-06-02 23:00:00,900358,Hiltrop Volkspark,51.52259,7.26221,96.565,14.334,0.0,0.0,779,3.677,17.17,5.7,2025-06
2025-06-02 23:15:01,900358,Hiltrop Volkspark,51.52259,7.26221,96.565,14.3,0.0,0.0,777,3.657,16.99,5.7,2025-06
2025-06-02 23:30:01,900358,Hiltrop Volkspark,51.52259,7.26221,96.564,14.328,0.0,0.0,780,,,,2025-06
2025-06-02 23:45:01,900358,Hiltrop Volkspark,51.52259,7.26221,96.565,14.338,0.0,0.0,786,,,,2025-06
2025-06-03 00:00:00,900358,Hiltrop Volkspark,51.52259,7.26221,96.565,14.341,0.0,0.0,781,3.659,16.36,5.7,2025-06
2025-06-03 00:00:00,900358,Hiltrop Volkspark,51.52259,7.26221,96.565,14.341,0.0,0.0,781,3.659,16.36,5.7,2025-06
2025-06-03 00:15:00,900358,Hiltrop Volkspark,51.52259,7.26221,96.564,14.316,0.0,0.0,781,3.653,16.25,5.7,2025-06
2025-06-03 00:30:00,900358,Hiltrop Volkspark,51.52259,7.26221,96.565,14.366,0.0,0.0,783,,,,2025-06
2025-06-03 00:45:00,900358,Hiltrop Volkspark,51.52259,7.26221,96.565,14.356,0.0,0.0,788,,,,2025-06
2025-06-03 01:00:00,900358,Hiltrop Volkspark,51.52259,7.26221,96.564,14.388,0.0,0.0,783,3.659,15.79,5.7,2025-06
2025-06-03 01:15:00,900358,Hiltrop Volkspark,51.52259,7.26221,96.565,14.359,0.0,0.0,782,3.647,15.72,5.7,2025-06
2025-06-03 01:30:00,900358,Hiltrop Volkspark,51.52259,7.26221,96.565,14.35,0.0,0.0,785,,,,2025-06
2025-06-03 01:45:00,900358,Hiltrop Volkspark,51.52259,7.26221,96.565,14.353,0.0,0.0,784,,,,2025-06
