datetime,logger_id,name,latitude,longitude,pegel,wtemp,o,do,elL,hkBat,hkTemp,hkHum,year_month
2024-12-01 00:00:00,900541,Uemminger See,51.46932,7.29004,1.448,9.1,37.029,4.333,2844,3.63,6.49,39.1,2024-12
2024-12-01 00:00:00,900541,Uemminger See,51.46932,7.29004,1.448,9.1,37.029,4.333,2844,3.63,6.49,39.1,2024-12
2024-12-01 00:15:01,900541,Uemminger See,51.46932,7.29004,1.447,9.1,36.507,4.284,2839,3.608,6.52,39.0,2024-12
2024-12-01 00:30:01,900541,Uemminger See,51.46932,7.29004,1.447,9.1,36.106,4.256,2820,,,,2024-12
2024-12-01 00:45:01,900541,Uemminger See,51.46932,7.29004,1.447,9.1,37.063,4.373,2849,,,,2024-12
2024-12-01 01:00:00,900541,Uemminger See,51.46932,7.29004,1.447,9.1,37.989,4.476,2813,3.63,6.17,39.1,2024-12
2024-12-01 01:15:00,900541,Uemminger See,51.46932,7.29004,1.447,9.0,38.545,4.543,2811,3.612,6.2,38.9,2024-12
2024-12-01 01:30:00,900541,Uemminger See,51.46932,7.29004,1.447,9.0,38.837,4.576,2822,,,,2024-12
2024-12-01 01:45:00,900541,Uemminger See,51.46932,7.29004,1.447,8.9,38.586,4.55,2822,,,,2024-12
2024-12-01 02:00:01,900541,Uemminger See,51.46932,7.29004,1.446,9.0,38.098,4.494,2836,3.627,5.5,38.9,2024-12
2024-12-01 02:15:00,900541,Uemminger See,51.46932,7.29004,1.447,9.0,37.219,4.39,2848,3.614,5.34,38.8,2024-12
2024-12-01 02:30:00,900541,Uemminger See,51.46932,7.29004,1.447,8.9,36.746,4.335,2808,,,,2024-12
2024-12-01 02:45:00,900541,Uemminger See,51.46932,7.29004,1.447,8.9,36.566,4.316,2844,,,,2024-12
2024-12-01 03:00:01,900541,Uemminger See,51.46932,7.29004,1.447,8.9,36.437,4.304,2833,3.627,4.77,38.8,2024-12
2024-12-01 03:15:00,900541,Uemminger See,51.46932,7.29004,1.447,8.9,36.702,4.342,2815,3.614,4.68,38.7,2024-12
2024-12-01 03:30:00,900541,Uemminger See,51.46932,7.29004,1.446,8.9,36.81,4.358,2811,,,,2024-12
2024-12-01 03:45:00,900541,Uemminger See,51.46932,7.29004,1.446,8.9,37.374,4.433,2848,,,,2024-12
2024-12-01 04:00:01,900541,Uemminger See,51.46932,7.29004,1.446,8.9,38.575,4.579,2822,3.618,4.17,38.7,2024-12
2024-12-01 04:15:00,900541,Uemminger See,51.46932,7.29004,1.446,8.8,38.539,4.578,2853,3.61,4.12,38.6,2024-12
2024-12-01 04:30:00,900541,Uemminger See,51.46932,7.29004,1.446,8.8,37.925,4.507,2840,,,,2024-12
2024-12-01 04:45:00,900541,Uemminger See,51.46932,7.29004,1.446,8.8,37.334,4.443,2811,,,,2024-12
2024-12-01 05:00:01,900541,Uemminger See,51.46932,7.29004,1.446,8.8,36.818,4.384,2826,3.618,3.69,38.6,2024-12
2024-12-01 05:15:00,900541,Uemminger See,51.46932,7.29004,1.446,8.8,36.934,4.401,2815,3.615,3.64,38.6,2024-12
2024-12-01 05:30:00,900541,Uemminger See,51.46932,7.29004,1.446,8.7,36.81,4.388,2837,,,,2024-12
2024-12-01 05:45:00,900541,Uemminger See,51.46932,7.29004,1.446,8.7,36.627,4.375,2818,,,,2024-12
2024-12-01 06:00:01,900541,Uemminger See,51.46932,7.29004,1.446,8.7,36.461,4.355,2827,3.625,3.61,38.7,2024-12
2024-12-01 06:15:00,900541,Uemminger See,51.46932,7.29004,1.447,8.7,36.345,4.344,2830,3.614,3.66,38.6,2024-12
2024-12-01 06:30:00,900541,Uemminger See,51.46932,7.29004,1.446,8.7,36.411,4.354,2813,,,,2024-12
2024-12-01 06:45:00,900541,Uemminger See,51.46932,7.29004,1.446,8.6,36.323,4.345,2803,,,,2024-12
2024-12-01 07:00:01,900541,Uemminger See,51.46932,7.29004,1.447,8.6,36.269,4.34,2801,3.625,3.52,38.7,2024-12
2024-12-01 07:15:00,900541,Uemminger See,51.46932,7.29004,1.446,8.6,36.243,4.339,2818,3.617,3.62,38.6,2024-12
2024-12-01 07:30:00,900541,Uemminger See,51.46932,7.29004,1.446,8.6,36.069,4.324,2824,,,,2024-12
2024-12-01 07:45:00,900541,Uemminger See,51.46932,7.29004,1.447,8.6,36.519,4.378,2841,,,,2024-12
2024-12-01 08:00:01,900541,Uemminger See,51.46932,7.29004,1.447,8.6,38.1,4.572,2843,3.623,4.08,38.8,2024-12
2024-12-01 08:15:00,900541,Uemminger See,51.46932,7.29004,1.446,8.5,38.644,4.638,2822,3.606,4.37,38.7,2024-12
2024-12-01 08:30:00,900541,Uemminger See,51.46932,7.29004,1.446,8.5,38.744,4.651,2817,,,,2024-12
2024-12-01 08:45:00,900541,Uemminger See,51.46932,7.29004,1.446,8.5,37.636,4.518,2844,,,,2024-12
2024-12-01 09:00:01,900541,Uemminger See,51.46932,7.29004,1.446,8.5,36.934,4.435,2841,3.626,4.9,38.8,2024-12
2024-12-01 09:15:00,900541,Uemminger See,51.46932,7.29004,1.446,8.5,37.011,4.444,2803,3.615,5.17,39.0,2024-12
2024-12-01 09:30:00,900541,Uemminger See,51.46932,7.29004,1.446,8.5,36.845,4.429,2796,,,,2024-12
2024-12-01 09:45:00,900541,Uemminger See,51.46932,7.29004,1.446,8.5,36.556,4.398,2837,,,,2024-12
2024-12-01 10:00:01,900541,Uemminger See,51.46932,7.29004,1.445,8.5,37.081,4.46,2827,3.625,9.96,40.2,2024-12
2024-12-01 10:15:00,900541,Uemminger See,51.46932,7.29004,1.445,8.4,37.511,4.515,2801,3.61,11.49,40.0,2024-12
2024-12-01 10:30:00,900541,Uemminger See,51.46932,7.29004,1.445,8.4,38.702,4.655,2829,,,,2024-12
