datetime,logger_id,name,latitude,longitude,pegel,wtemp,o,do,elL,hkBat,hkTemp,hkHum,year_month
2025-03-01 00:00:00,900390,Tipulusteich,51.50074,7.21965,73.634,6.319,109.1,13.321,966,3.647,5.75,36.5,2025-03
2025-03-01 00:00:00,900390,Tipulusteich,51.50074,7.21965,73.634,6.319,109.1,13.321,966,3.647,5.75,36.5,2025-03
2025-03-01 00:15:01,900390,Tipulusteich,51.50074,7.21965,73.634,6.3,111.99,13.68,975,3.627,5.72,36.4,2025-03
2025-03-01 00:30:01,900390,Tipulusteich,51.50074,7.21965,73.634,6.269,113.23,13.838,936,,,,2025-03
2025-03-01 00:45:01,900390,Tipulusteich,51.50074,7.21965,73.634,6.244,113.05,13.83,948,,,,2025-03
2025-03-01 01:00:00,900390,Tipulusteich,51.50074,7.21965,73.634,6.2,113.27,13.863,969,3.64,5.68,36.5,2025-03
2025-03-01 01:15:00,900390,Tipulusteich,51.50074,7.21965,73.635,6.203,112.45,13.771,953,3.632,5.78,36.4,2025-03
2025-03-01 01:30:00,900390,Tipulusteich,51.50074,7.21965,73.635,6.178,111.43,13.656,975,,,,2025-03
2025-03-01 01:45:00,900390,Tipulusteich,51.50074,7.21965,73.634,6.216,110.83,13.587,963,,,,2025-03
2025-03-01 02:00:00,900390,Tipulusteich,51.50074,7.21965,73.634,6.159,109.16,13.389,947,3.641,5.94,36.5,2025-03
2025-03-01 02:15:00,900390,Tipulusteich,51.50074,7.21965,73.634,6.175,109.32,13.412,938,3.637,6.11,36.4,2025-03
2025-03-01 02:30:00,900390,Tipulusteich,51.50074,7.21965,73.634,6.181,109.73,13.474,948,,,,2025-03
2025-03-01 02:45:00,900390,Tipulusteich,51.50074,7.21965,73.634,6.147,108.94,13.38,916,,,,2025-03
2025-03-01 03:00:00,900390,Tipulusteich,51.50074,7.21965,73.634,6.131,107.89,13.256,938,3.646,6.39,36.5,2025-03
2025-03-01 03:15:00,900390,Tipulusteich,51.50074,7.21965,73.634,6.106,107.14,13.168,945,3.634,6.55,36.4,2025-03
2025-03-01 03:30:00,900390,Tipulusteich,51.50074,7.21965,73.634,6.091,107.19,13.18,941,,,,2025-03
2025-03-01 03:45:00,900390,Tipulusteich,51.50074,7.21965,73.634,6.109,106.47,13.097,962,,,,2025-03
2025-03-01 04:00:00,900390,Tipulusteich,51.50074,7.21965,73.634,6.072,105.3,12.956,961,3.647,6.72,36.5,2025-03
2025-03-01 04:15:00,900390,Tipulusteich,51.50074,7.21965,73.634,6.066,105.02,12.926,961,3.632,6.82,36.5,2025-03
2025-03-01 04:30:00,900390,Tipulusteich,51.50074,7.21965,73.634,6.075,104.31,12.842,957,,,,2025-03
2025-03-01 04:45:00,900390,Tipulusteich,51.50074,7.21965,73.634,6.047,103.68,12.768,964,,,,2025-03
2025-03-01 05:00:00,900390,Tipulusteich,51.50074,7.21965,73.634,6.025,103.24,12.725,967,3.642,6.71,36.5,2025-03
2025-03-01 05:15:01,900390,Tipulusteich,51.50074,7.21965,73.634,6.009,102.99,12.697,959,3.635,6.71,36.4,2025-03
2025-03-01 05:30:01,900390,Tipulusteich,51.50074,7.21965,73.634,6.044,103.11,12.72,966,,,,2025-03
2025-03-01 05:45:01,900390,Tipulusteich,51.50074,7.21965,73.634,5.994,102.59,12.658,975,,,,2025-03
2025-03-01 06:00:00,900390,Tipulusteich,51.50074,7.21965,73.634,6.0,100.94,12.461,963,3.645,6.56,36.5,2025-03
2025-03-01 06:15:00,900390,Tipulusteich,51.50074,7.21965,73.633,5.991,100.68,12.433,960,3.628,6.6,36.5,2025-03
2025-03-01 06:30:00,900390,Tipulusteich,51.50074,7.21965,73.634,5.966,100.22,12.384,960,,,,2025-03
2025-03-01 06:45:00,900390,Tipulusteich,51.50074,7.21965,73.634,5.931,100.11,12.374,963,,,,2025-03
2025-03-01 07:00:00,900390,Tipulusteich,51.50074,7.21965,73.634,5.897,98.56,12.192,945,3.64,6.6,36.5,2025-03
2025-03-01 07:15:00,900390,Tipulusteich,51.50074,7.21965,73.634,5.9,97.805,12.102,962,3.627,6.68,36.5,2025-03
2025-03-01 07:30:00,900390,Tipulusteich,51.50074,7.21965,73.634,5.859,98.055,12.139,956,,,,2025-03
2025-03-01 07:45:00,900390,Tipulusteich,51.50074,7.21965,73.633,5.884,97.516,12.075,966,,,,2025-03
2025-03-01 08:00:00,900390,Tipulusteich,51.50074,7.21965,73.634,5.853,96.327,11.933,963,3.644,6.7,36.5,2025-03
2025-03-01 08:15:01,900390,Tipulusteich,51.50074,7.21965,73.633,5.85,96.48,11.956,966,3.636,6.79,36.5,2025-03
2025-03-01 08:30:01,900390,Tipulusteich,51.50074,7.21965,73.633,5.847,95.578,11.847,961,,,,2025-03
2025-03-01 08:45:01,900390,Tipulusteich,51.50074,7.21965,73.634,5.834,94.278,11.69,963,,,,2025-03
2025-03-01 09:00:00,900390,Tipulusteich,51.50074,7.21965,73.633,5.8,95.701,11.866,969,3.642,7.05,36.6,2025-03
2025-03-01 09:15:00,900390,Tipulusteich,51.50074,7.21965,73.634,5.825,96.467,11.962,972,3.629,7.17,36.5,2025-03
2025-03-01 09:30:00,900390,Tipulusteich,51.50074,7.21965,73.634,5.834,94.688,11.741,964,,,,2025-03
2025-03-01 09:45:00,900390,Tipulusteich,51.50074,7.21965,73.633,5.834,94.275,11.688,968,,,,2025-03
2025-03-01 10:00:00,900390,Tipulusteich,51.50074,7.21965,73.634,5.806,93.226,11.556,963,3.64,7.53,36.6,2025-03
2025-03-01 10:15:00,900390,Tipulusteich,51.50074,7.21965,73.633,5.828,93.638,11.606,968,3.631,7.76,36.6,2025-03
