datetime,logger_id,name,latitude,longitude,pegel,wtemp,o,do,elL,hkBat,hkTemp,hkHum,year_month
2025-05-01 00:00:00,900373,Jasminweg,51.45729,7.14757,94.55,15.481,0,0,345,3.727,18.48,54.3,2025-05
2025-05-01 00:00:00,900373,Jasminweg,51.45729,7.14757,94.55,15.481,0,0,345,3.727,18.48,54.3,2025-05
2025-05-01 00:15:01,900373,Jasminweg,51.45729,7.14757,94.55,15.4,0,0,348,3.705,18.36,54.2,2025-05
2025-05-01 00:30:01,900373,Jasminweg,51.45729,7.14757,94.551,15.391,0,0,346,,,,2025-05
2025-05-01 00:45:01,900373,Jasminweg,51.45729,7.14757,94.55,15.459,0,0,345,,,,2025-05
2025-05-01 01:00:00,900373,Jasminweg,51.45729,7.14757,94.551,15.428,0,0,346,3.722,17.86,54.2,2025-05
2025-05-01 01:15:01,900373,Jasminweg,51.45729,7.14757,94.55,15.413,0,0,347,3.707,17.72,54.1,2025-05
2025-05-01 01:30:01,900373,Jasminweg,51.45729,7.14757,94.55,15.388,0,0,350,,,,2025-05
2025-05-01 01:45:01,900373,Jasminweg,51.45729,7.14757,94.55,15.338,0,0,347,,,,2025-05
2025-05-01 02:00:00,900373,Jasminweg,51.45729,7.14757,94.55,15.303,0,0,347,3.719,17.17,54.1,2025-05
2025-05-01 02:15:01,900373,Jasminweg,51.45729,7.14757,94.55,15.366,0,0,346,3.7,17.04,54.0,2025-05
2025-05-01 02:30:01,900373,Jasminweg,51.45729,7.14757,94.551,15.303,0,0,351,,,,2025-05
2025-05-01 02:45:01,900373,Jasminweg,51.45729,7.14757,94.55,15.384,0,0,353,,,,2025-05
2025-05-01 03:00:00,900373,Jasminweg,51.45729,7.14757,94.55,15.331,0,0,353,3.723,16.49,54.0,2025-05
2025-05-01 03:15:01,900373,Jasminweg,51.45729,7.14757,94.55,15.35,0,0,349,3.7,16.37,53.9,2025-05
2025-05-01 03:30:01,900373,Jasminweg,51.45729,7.14757,94.55,15.291,0,0,352,,,,2025-05
2025-05-01 03:45:01,900373,Jasminweg,51.45729,7.14757,94.549,15.363,0,0,349,,,,2025-05
2025-05-01 04:00:00,900373,Jasminweg,51.45729,7.14757,94.55,15.381,0,0,352,3.719,15.96,54.0,2025-05
2025-05-01 04:15:01,900373,Jasminweg,51.45729,7.14757,94.55,15.344,0,0,358,3.702,15.87,53.8,2025-05
2025-05-01 04:30:01,900373,Jasminweg,51.45729,7.14757,94.55,15.256,0,0,353,,,,2025-05
2025-05-01 04:45:01,900373,Jasminweg,51.45729,7.14757,94.55,15.275,0,0,359,,,,2025-05
2025-05-01 05:00:00,900373,Jasminweg,51.45729,7.14757,94.549,15.331,0,0,359,3.718,15.41,53.8,2025-05
2025-05-01 05:15:01,900373,Jasminweg,51.45729,7.14757,94.55,15.303,0,0,355,3.699,15.31,53.8,2025-05
2025-05-01 05:30:01,900373,Jasminweg,51.45729,7.14757,94.55,15.291,0,0,357,,,,2025-05
2025-05-01 05:45:01,900373,Jasminweg,51.45729,7.14757,94.55,15.278,0,0,360,,,,2025-05
2025-05-01 06:00:00,900373,Jasminweg,51.45729,7.14757,94.55,15.241,0,0,358,3.719,15.0,53.9,2025-05
2025-05-01 06:15:00,900373,Jasminweg,51.45729,7.14757,94.549,15.228,0,0,357,3.697,15.05,53.8,2025-05
2025-05-01 06:30:00,900373,Jasminweg,51.45729,7.14757,94.55,15.256,0,0,362,,,,2025-05
2025-05-01 06:45:00,900373,Jasminweg,51.45729,7.14757,94.549,15.194,0,0,360,,,,2025-05
2025-05-01 07:00:00,900373,Jasminweg,51.45729,7.14757,94.549,15.288,0,0,362,3.716,15.33,54.0,2025-05
2025-05-01 07:15:01,900373,Jasminweg,51.45729,7.14757,94.549,15.256,0,0,360,3.7,15.63,54.0,2025-05
2025-05-01 07:30:01,900373,Jasminweg,51.45729,7.14757,94.549,15.194,0,0,367,,,,2025-05
2025-05-01 07:45:01,900373,Jasminweg,51.45729,7.14757,94.55,15.194,0,0,365,,,,2025-05
2025-05-01 08:00:00,900373,Jasminweg,51.45729,7.14757,94.549,15.203,0,0,365,3.719,16.75,54.2,2025-05
2025-05-01 08:15:01,900373,Jasminweg,51.45729,7.14757,94.549,15.231,0,0,364,3.702,17.3,54.2,2025-05
2025-05-01 08:30:01,900373,Jasminweg,51.45729,7.14757,94.549,15.197,0,0,364,,,,2025-05
2025-05-01 08:45:01,900373,Jasminweg,51.45729,7.14757,94.549,15.194,0,0,364,,,,2025-05
2025-05-01 09:00:00,900373,Jasminweg,51.45729,7.14757,94.55,15.119,0,0,362,3.72,18.66,54.3,2025-05
2025-05-01 09:15:01,900373,Jasminweg,51.45729,7.14757,94.549,15.156,0,0,365,3.706,19.2,54.3,2025-05
2025-05-01 09:30:01,900373,Jasminweg,51.45729,7.14757,94.55,15.141,0,0,369,,,,2025-05
2025-05-01 09:45:01,900373,Jasminweg,51.45729,7.14757,94.549,15.166,0,0,367,,,,2025-05
2025-05-01 10:00:00,900373,Jasminweg,51.45729,7.14757,94.549,15.178,0,0,365,3.724,20.63,54.5,2025-05
2025-05-01 10:15:01,900373,Jasminweg,51.45729,7.14757,94.55,15.163,0,0,370,3.703,21.18,54.4,2025-05
2025-05-01 10:30:01,900373,Jasminweg,51.45729,7.14757,94.549,15.131,0,0,364,,,,2025-05
2025-05-01 10:45:01,900373,Jasminweg,51.45729,7.14757,94.549,15.172,0,0,362,,,,2025-05
2025-05-01 11:00:00,900373,Jasminweg,51.45729,7.14757,94.549,15.153,0,0,364,3.728,22.23,54.5,2025-05
2025-05-01 11:15:01,900373,Jasminweg,51.45729,7.14757,94.549,15.188,0,0,367,3.712,22.55,54.5,2025-05
2025-05-01 11:30:01,900373,Jasminweg,51.45729,7.14757,94.549,15.153,0,0,370,,,,2025-05
2025-05-01 11:45:01,900373,Jasminweg,51.45729,7.14757,94.549,15.181,0,0,369,,,,2025-05
2025-05-01 12:00:00,900373,Jasminweg,51.45729,7.14757,94.549,15.197,0,0,363,3.724,23.13,54.6,2025-05
2025-05-01 12:15:01,900373,Jasminweg,51.45729,7.14757,94.549,15.2,0,0,362,3.714,23.34,54.6,2025-05
