datetime,outdoor_temperature,outdoor_feels_like,outdoor_app_temp,outdoor_dew_point,outdoor_humidity,indoor_temperature,indoor_humidity,solar_and_uvi_solar,solar_and_uvi_uvi,rainfall_piezo_rain_rate,rainfall_piezo_daily,rainfall_piezo_event,rainfall_piezo_hourly,rainfall_piezo_weekly,rainfall_piezo_monthly,rainfall_piezo_yearly,wind_wind_speed,wind_wind_gust,wind_wind_direction,pressure_relative,pressure_absolute,battery_haptic_array_battery,battery_haptic_array_capacitor
2025-05-06 10:20:00+02:00,11.9,11.9,10.8,5.2,64.0,12.6,89.0,374.5,3.0,0.0,0.0,0.0,0.0,0.0,29.0,599.4,0.0,0.0,0.0,1008.1,1008.1,2.56,1.4
2025-05-06 10:25:00+02:00,12.0,12.0,11.0,5.4,64.0,12.8,89.0,421.2,3.0,0.0,0.0,0.0,0.0,0.0,29.0,599.4,0.0,0.0,0.0,1008.0,1008.0,2.56,1.4
2025-05-06 10:30:00+02:00,12.1,12.1,11.0,5.4,64.0,13.1,90.0,441.2,4.0,0.0,0.0,0.0,0.0,0.0,29.0,599.4,0.0,0.0,0.0,1007.9,1007.9,2.56,1.5
2025-05-06 10:35:00+02:00,12.2,12.2,11.2,5.4,63.0,13.4,89.0,475.2,4.0,0.0,0.0,0.0,0.0,0.0,29.0,599.4,0.0,0.0,0.0,1007.8,1007.8,2.56,1.5
2025-05-06 10:40:00+02:00,12.3,12.3,11.3,5.5,63.0,13.8,89.0,509.6,4.0,0.0,0.0,0.0,0.0,0.0,29.0,599.4,0.0,0.0,0.0,1007.9,1007.9,2.56,1.7
2025-05-06 10:45:00+02:00,12.4,12.4,11.4,5.4,62.0,14.0,89.0,449.9,4.0,0.0,0.0,0.0,0.0,0.0,29.0,599.4,0.0,0.0,0.0,1007.8,1007.8,2.56,1.7
2025-05-06 10:50:00+02:00,12.3,12.3,11.2,5.0,61.0,14.3,89.0,526.4,4.0,0.0,0.0,0.0,0.0,0.0,29.0,599.4,0.0,0.0,0.0,1008.0,1008.0,2.56,1.8
2025-05-06 10:55:00+02:00,12.4,12.4,11.3,5.1,61.0,14.5,89.0,534.7,4.0,0.0,0.0,0.0,0.0,0.0,29.0,599.4,0.0,0.0,0.0,1007.9,1007.9,2.56,1.8
2025-05-06 11:00:00+02:00,13.3,13.3,12.2,5.1,58.0,14.7,89.0,380.9,3.0,0.0,0.0,0.0,0.0,0.0,29.0,599.4,0.0,0.0,0.0,1007.9,1007.9,2.56,1.9
2025-05-06 11:05:00+02:00,13.0,13.0,11.7,4.5,56.0,15.0,89.0,504.5,4.0,0.0,0.0,0.0,0.0,0.0,29.0,599.4,0.0,0.0,0.0,1008.0,1008.0,2.56,2.0
