datetime,outdoor_temperature,outdoor_feels_like,outdoor_app_temp,outdoor_dew_point,outdoor_humidity,indoor_temperature,indoor_humidity,solar_and_uvi_solar,solar_and_uvi_uvi,rainfall_piezo_rain_rate,rainfall_piezo_daily,rainfall_piezo_event,rainfall_piezo_hourly,rainfall_piezo_weekly,rainfall_piezo_monthly,rainfall_piezo_yearly,wind_wind_speed,wind_wind_gust,wind_wind_direction,pressure_relative,pressure_absolute,battery_haptic_array_battery,battery_haptic_array_capacitor
2025-09-01 02:00:00+02:00,18.7,18.7,16.0,16.5,87.0,22.7,60.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.2,1225.4,25.3,30.2,96.0,993.9,993.9,2.84,4.3
2025-09-01 02:05:00+02:00,18.7,18.7,16.5,16.6,87.0,22.7,60.0,0.0,0.0,0.6,0.3,0.3,0.3,0.3,0.3,1225.5,22.7,30.2,97.0,994.0,994.0,2.95,4.3
2025-09-01 02:10:00+02:00,18.6,18.6,15.9,16.6,88.0,22.7,60.0,0.0,0.0,1.2,0.4,0.4,0.4,0.4,0.4,1225.6,25.4,27.7,91.0,993.9,993.9,2.98,4.3
2025-09-01 02:15:00+02:00,18.5,18.5,15.9,16.7,89.0,22.6,60.0,0.0,0.0,1.2,0.4,0.4,0.4,0.4,0.4,1225.6,25.2,28.4,90.0,993.8,993.8,3.22,4.2
2025-09-01 02:20:00+02:00,18.4,18.4,16.0,16.7,90.0,22.6,60.0,0.0,0.0,0.6,0.5,0.5,0.5,0.5,0.5,1225.7,24.0,28.1,91.0,993.9,993.9,3.28,4.2
2025-09-01 02:25:00+02:00,18.3,18.3,15.5,16.7,90.0,22.6,60.0,0.0,0.0,0.6,0.5,0.5,0.5,0.5,0.5,1225.7,25.9,28.4,92.0,993.8,993.8,3.28,4.1
2025-09-01 02:30:00+02:00,18.3,18.3,15.7,16.8,91.0,22.5,61.0,0.0,0.0,0.6,0.5,0.5,0.4,0.5,0.5,1225.7,24.8,28.4,89.0,993.9,993.9,3.28,4.1
2025-09-01 02:35:00+02:00,18.2,18.2,15.6,16.7,91.0,22.5,61.0,0.0,0.0,0.0,0.5,0.5,0.4,0.5,0.5,1225.7,24.8,29.5,91.0,993.7,993.7,3.16,4.1
2025-09-01 02:40:00+02:00,18.1,18.1,15.8,16.8,92.0,22.5,61.0,0.0,0.0,0.0,0.5,0.5,0.3,0.5,0.5,1225.7,23.8,29.5,93.0,993.9,993.9,3.12,4.1
2025-09-01 02:45:00+02:00,18.1,18.1,15.8,16.8,92.0,22.4,61.0,0.0,0.0,0.0,0.5,0.5,0.3,0.5,0.5,1225.7,23.5,26.6,92.0,993.8,993.8,3.12,4.0
2025-09-01 02:50:00+02:00,18.1,18.1,15.9,16.8,92.0,22.4,61.0,0.0,0.0,0.6,0.6,0.6,0.4,0.6,0.6,1225.8,22.9,27.4,97.0,993.9,993.9,3.12,4.0
