datetime,outdoor_temperature,outdoor_feels_like,outdoor_app_temp,outdoor_dew_point,outdoor_humidity,indoor_temperature,indoor_humidity,solar_and_uvi_solar,solar_and_uvi_uvi,rainfall_piezo_rain_rate,rainfall_piezo_daily,rainfall_piezo_event,rainfall_piezo_hourly,rainfall_piezo_weekly,rainfall_piezo_monthly,rainfall_piezo_yearly,wind_wind_speed,wind_wind_gust,wind_wind_direction,pressure_relative,pressure_absolute,battery_haptic_array_battery,battery_haptic_array_capacitor
2024-09-01 02:00:00+02:00,18.2,18.2,18.8,13.5,74.0,22.9,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,346.4,2.4,6.1,92.0,1013.1,1013.1,3.1,4.9
2024-09-01 02:05:00+02:00,18.2,18.2,18.9,13.7,75.0,22.8,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,346.4,2.3,4.7,94.0,1013.0,1013.0,3.1,4.9
2024-09-01 02:10:00+02:00,18.1,18.1,18.7,13.6,75.0,22.8,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,346.4,2.5,6.8,91.0,1012.9,1012.9,3.1,4.9
2024-09-01 02:15:00+02:00,18.0,18.0,18.6,13.5,75.0,22.8,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,346.4,2.5,6.1,100.0,1012.8,1012.8,3.1,4.8
2024-09-01 02:20:00+02:00,18.0,18.0,18.6,13.5,75.0,22.7,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,346.4,2.4,6.1,91.0,1012.9,1012.9,3.1,4.8
2024-09-01 02:25:00+02:00,18.0,18.0,18.8,13.7,76.0,22.7,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,346.4,1.5,4.7,127.0,1012.7,1012.7,3.1,4.8
2024-09-01 02:30:00+02:00,17.9,17.9,18.6,13.6,76.0,22.6,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,346.4,2.2,5.4,102.0,1012.7,1012.7,3.1,4.8
2024-09-01 02:35:00+02:00,17.9,17.9,18.6,13.6,76.0,22.6,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,346.4,2.0,4.0,117.0,1012.6,1012.6,3.1,4.8
2024-09-01 02:40:00+02:00,17.8,17.8,18.4,13.5,76.0,22.6,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,346.4,2.7,4.0,94.0,1012.5,1012.5,3.1,4.8
2024-09-01 02:45:00+02:00,17.8,17.8,18.5,13.7,77.0,22.5,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,346.4,2.4,4.0,106.0,1012.5,1012.5,3.1,4.8
